BC,0,7,14,21,28,35,s,f0
0,13439.0,1710.0,423.0,255.0,674.0,0.0,0.0,0.0398515699997923
1,12698.0,1767.0,454.0,265.0,706.0,0.0,1.0058376940811136,0.03778833863802083
2,16799.0,1981.0,553.0,486.0,4610.0,0.0,1.065582965221483,0.04463296781085186
3,12833.0,1885.0,403.0,285.0,730.0,0.0,1.0066516272289816,0.038286508280195655
4,17980.0,2119.0,550.0,526.0,4938.0,0.0,1.065521363544288,0.04773061597441162
5,16960.0,2207.0,607.0,418.0,1085.0,0.0,1.0105456177122472,0.0499147616304802
6,16440.0,2182.0,512.0,337.0,1025.0,0.0,1.007535763200736,0.04850402250068154
7,13905.0,1853.0,472.0,278.0,792.0,0.0,1.0052865580789223,0.04120240403277106
8,15732.0,2247.0,527.0,336.0,877.0,0.0,1.0059020335213769,0.04687990047014242
9,16299.0,2069.0,518.0,291.0,822.0,0.0,0.9997520196967812,0.048328634684337866
10,15367.0,2095.0,520.0,345.0,988.0,0.0,1.0100233277146478,0.04538191594100605
11,17082.0,2066.0,506.0,351.0,959.0,0.0,1.0029308911896793,0.050245211082348286
12,14917.0,2064.0,537.0,311.0,1008.0,0.0,1.011604179939517,0.0440518765702616
13,14290.0,1970.0,471.0,254.0,751.0,0.0,1.002274071507669,0.04258387408394434
14,15905.0,1930.0,487.0,348.0,826.0,0.0,1.0014182061853658,0.04691147938130919
15,17227.0,2209.0,532.0,344.0,1094.0,0.0,1.0074854154246118,0.05066611651113888
16,13856.0,2080.0,490.0,318.0,902.0,0.0,1.0118894598866952,0.04123369805643137
17,13012.0,1764.0,509.0,392.0,3472.0,0.0,1.0649028825907672,0.03514631308603767
18,15562.0,2106.0,532.0,353.0,963.0,0.0,1.0089484090822884,0.04599810702247222
500,3987.0,790.0,326.0,295.0,0.0,0.0,1.0117358585584983,0.012620999196107853
1000,3558.0,975.0,494.0,559.0,337.0,0.0,1.0577900962834232,0.011364628172849951
1500,3581.0,1389.0,1258.0,1686.0,1517.0,340.0,1.1117036828998466,0.011724370079792447
2000,3370.0,1128.0,1088.0,1629.0,1484.0,434.0,1.1153550552612836,0.01048102374740853
5000,4237.0,1678.0,1359.0,2449.0,2062.0,654.0,1.1196272545755979,0.013518563297103955
10000,5077.0,2715.0,3023.0,6082.0,4799.0,1971.0,1.1441928499635237,0.017865062029114375
15000,5610.0,3466.0,4451.0,13920.0,25064.0,6951.0,1.1892356338560157,0.018601788379861157
30000,5122.0,4878.0,7595.0,23435.0,18240.0,11216.0,1.1848741489618047,0.024276445172750096
40000,1427.0,1642.0,2413.0,14512.0,16453.0,15007.0,1.231377573453483,0.005794108085879029
50000,4507.0,8769.0,20352.0,114201.0,181115.0,164902.0,1.2564593352929598,0.028414696082497724
