BC,7,14,21,28,35
0,1374,2005,0,0,0
1,1465,2146,0,0,0
2,1694,3008,0,5727,0
3,1427,2110,0,0,0
4,1694,3412,0,5668,0
5,1748,2924,0,1111,0
6,1692,2724,0,1075,0
7,1402,2199,0,0,0
8,1711,2555,0,0,0
9,1554,2555,0,0,0
10,1590,2527,0,1031,0
11,1605,2856,0,1061,0
12,1579,2738,0,1060,0
13,1513,2216,0,0,0
14,1545,2428,0,0,0
15,1674,2941,0,1139,0
16,1511,2453,0,0,0
17,1434,2324,0,4179,0
18,1623,2423,0,1017,0
500,0,1570,0,0,0
1000,0,2545,0,0,0
1500,1203,5588,1706,1689,0
2000,1004,5052,1614,1898,0
5000,1341,6567,2203,4022,0
10000,2061,14301,4858,5696,2285
15000,2707,23734,12261,31310,8376
30000,3528,31573,16533,9639,13202
40000,1199,11317,10282,7335,14718
50000,6569,73076,79780,104173,146478
