BC,0,7,14,21,28,35
0.0,13439.0,1710.0,0.0,0.0,0.0,0.0
1.0,12698.0,1767.0,0.0,0.0,0.0,0.0
2.0,16799.0,1981.0,0.0,0.0,4610.0,0.0
3.0,12833.0,1885.0,0.0,0.0,0.0,0.0
4.0,17980.0,2119.0,0.0,0.0,4938.0,0.0
5.0,16960.0,2207.0,0.0,0.0,1085.0,0.0
6.0,16440.0,2182.0,0.0,0.0,1025.0,0.0
7.0,13905.0,1853.0,0.0,0.0,0.0,0.0
8.0,15732.0,2247.0,0.0,0.0,0.0,0.0
9.0,16299.0,2069.0,0.0,0.0,0.0,0.0
10.0,15367.0,2095.0,0.0,0.0,0.0,0.0
11.0,17082.0,2066.0,0.0,0.0,0.0,0.0
12.0,14917.0,2064.0,0.0,0.0,1008.0,0.0
13.0,14290.0,1970.0,0.0,0.0,0.0,0.0
14.0,15905.0,1930.0,0.0,0.0,0.0,0.0
15.0,17227.0,2209.0,0.0,0.0,1094.0,0.0
16.0,13856.0,2080.0,0.0,0.0,0.0,0.0
17.0,13012.0,1764.0,0.0,0.0,3472.0,0.0
18.0,15562.0,2106.0,0.0,0.0,0.0,0.0
500.0,3987.0,0.0,0.0,0.0,0.0,0.0
1000.0,3558.0,0.0,0.0,0.0,0.0,0.0
1500.0,3581.0,1389.0,1258.0,1686.0,1517.0,0.0
2000.0,3370.0,1128.0,1088.0,1629.0,1484.0,0.0
5000.0,4237.0,1678.0,1359.0,2449.0,2062.0,0.0
10000.0,5077.0,2715.0,3023.0,6082.0,4799.0,1971.0
15000.0,5610.0,3466.0,4451.0,13920.0,25064.0,6951.0
30000.0,5122.0,4878.0,7595.0,23435.0,18240.0,11216.0
40000.0,1427.0,1642.0,2413.0,14512.0,16453.0,15007.0
50000.0,4507.0,8769.0,20352.0,114201.0,181115.0,164902.0
