BC,0,7,14,21,28,35
0.0,13439.0,6102.0,519.0,201.0,0.0,187.0
1.0,12698.0,6097.0,640.0,214.0,0.0,200.0
2.0,16799.0,8017.0,601.0,197.0,0.0,0.0
3.0,12833.0,5875.0,619.0,212.0,0.0,159.0
4.0,17980.0,8567.0,653.0,217.0,0.0,0.0
5.0,16960.0,8822.0,788.0,375.0,0.0,240.0
6.0,16440.0,8333.0,731.0,346.0,0.0,275.0
7.0,13905.0,6793.0,582.0,263.0,0.0,221.0
8.0,15732.0,7857.0,642.0,260.0,0.0,156.0
9.0,16299.0,7287.0,593.0,227.0,0.0,166.0
10.0,15367.0,6564.0,590.0,231.0,0.0,175.0
11.0,17082.0,8172.0,578.0,269.0,0.0,177.0
12.0,14917.0,7583.0,619.0,302.0,0.0,160.0
13.0,14290.0,6497.0,545.0,248.0,0.0,0.0
14.0,15905.0,7674.0,635.0,255.0,0.0,158.0
15.0,17227.0,8672.0,725.0,368.0,0.0,308.0
16.0,13856.0,6916.0,647.0,265.0,0.0,172.0
17.0,13012.0,6144.0,507.0,0.0,0.0,0.0
18.0,15562.0,7740.0,650.0,311.0,0.0,161.0
500.0,3987.0,3287.0,570.0,272.0,0.0,0.0
1000.0,3558.0,4260.0,862.0,721.0,242.0,433.0
1500.0,3581.0,5452.0,1488.0,1424.0,641.0,1103.0
2000.0,3370.0,6554.0,2348.0,2894.0,1384.0,3579.0
5000.0,4237.0,1598.0,0.0,0.0,0.0,0.0
10000.0,5077.0,2969.0,513.0,265.0,302.0,0.0
15000.0,5610.0,1668.0,0.0,0.0,1617.0,0.0
30000.0,5122.0,723.0,0.0,0.0,437.0,0.0
40000.0,1427.0,1179.0,202.0,0.0,256.0,0.0
50000.0,4507.0,24326.0,28614.0,125025.0,99483.0,249192.0
