BC,0,7,14,21,28,35
0.0,13439.0,6726.0,3657.0,979.0,574.0,0.0
1.0,12698.0,7246.0,4175.0,982.0,602.0,0.0
2.0,16799.0,17284.0,13536.0,4045.0,3418.0,608.0
3.0,12833.0,7280.0,4112.0,1019.0,458.0,0.0
4.0,17980.0,16407.0,12172.0,3738.0,5326.0,1088.0
5.0,16960.0,9411.0,5105.0,1173.0,435.0,0.0
6.0,16440.0,9698.0,5229.0,1311.0,5040.0,1058.0
7.0,13905.0,7589.0,4296.0,842.0,348.0,0.0
8.0,15732.0,9504.0,5184.0,1111.0,483.0,0.0
9.0,16299.0,9121.0,4882.0,1110.0,578.0,0.0
10.0,15367.0,9589.0,5114.0,1144.0,481.0,0.0
11.0,17082.0,8908.0,4772.0,1024.0,568.0,0.0
12.0,14917.0,8817.0,4631.0,1021.0,531.0,0.0
13.0,14290.0,7738.0,4190.0,971.0,306.0,0.0
14.0,15905.0,9076.0,4794.0,1026.0,421.0,0.0
15.0,17227.0,9220.0,4722.0,1016.0,411.0,0.0
16.0,13856.0,8532.0,5225.0,5313.0,34919.0,11887.0
17.0,13012.0,13202.0,10609.0,3419.0,2252.0,502.0
18.0,15562.0,8300.0,4512.0,1007.0,436.0,0.0
500.0,3987.0,2176.0,1123.0,206.0,0.0,0.0
1000.0,3558.0,3254.0,2387.0,834.0,455.0,0.0
1500.0,3581.0,5355.0,5166.0,2451.0,1804.0,765.0
2000.0,3370.0,5127.0,4940.0,2288.0,2118.0,1358.0
5000.0,4237.0,6256.0,5725.0,3266.0,2898.0,1124.0
10000.0,5077.0,3282.0,2575.0,1115.0,475.0,172.0
15000.0,5610.0,10013.0,18156.0,18415.0,19711.0,12240.0
30000.0,5122.0,7713.0,13325.0,14287.0,13291.0,17671.0
40000.0,1427.0,1610.0,2021.0,1427.0,812.0,693.0
50000.0,4507.0,5173.0,7902.0,7217.0,5165.0,2372.0
