BC,0,7,14,21,28,35
0.0,13439.0,4278.0,1135.0,479.0,171.0,0.0
1.0,12698.0,4264.0,1222.0,455.0,171.0,0.0
2.0,16799.0,10239.0,5035.0,3839.0,2322.0,248.0
3.0,12833.0,4080.0,1218.0,485.0,171.0,0.0
4.0,17980.0,12068.0,5938.0,4159.0,2275.0,239.0
5.0,16960.0,6543.0,1849.0,727.0,230.0,0.0
6.0,16440.0,6537.0,1850.0,699.0,209.0,0.0
7.0,13905.0,4801.0,1291.0,556.0,162.0,0.0
8.0,15732.0,5870.0,1443.0,589.0,175.0,0.0
9.0,16299.0,5565.0,1335.0,560.0,0.0,0.0
10.0,15367.0,5481.0,1464.0,610.0,180.0,0.0
11.0,17082.0,6659.0,1599.0,685.0,200.0,0.0
12.0,14917.0,5830.0,1505.0,679.0,203.0,0.0
13.0,14290.0,4873.0,1299.0,528.0,170.0,0.0
14.0,15905.0,5717.0,1367.0,581.0,156.0,0.0
15.0,17227.0,6514.0,1713.0,730.0,231.0,0.0
16.0,13856.0,5259.0,1353.0,533.0,194.0,0.0
17.0,13012.0,7450.0,4019.0,2926.0,1673.0,229.0
18.0,15562.0,5391.0,1415.0,646.0,175.0,0.0
500.0,3987.0,2127.0,1069.0,834.0,285.0,0.0
1000.0,3558.0,3431.0,2656.0,2283.0,1244.0,328.0
1500.0,3581.0,5945.0,6366.0,6697.0,4897.0,1390.0
2000.0,3370.0,5991.0,6982.0,8318.0,6249.0,1873.0
5000.0,4237.0,12735.0,8532.0,9153.0,4607.0,889.0
10000.0,5077.0,13205.0,15361.0,21286.0,12028.0,4121.0
15000.0,5610.0,40196.0,66030.0,102120.0,134551.0,58144.0
30000.0,5122.0,11647.0,17893.0,16677.0,11991.0,4444.0
40000.0,1427.0,4611.0,7785.0,9081.0,8247.0,3474.0
50000.0,4507.0,38092.0,92016.0,116871.0,141248.0,73216.0
