BC,0,7,14,21,28,35
0.0,13439.0,5253.0,1663.0,1031.0,192.0,0.0
1.0,12698.0,5356.0,1891.0,958.0,192.0,0.0
2.0,16799.0,9155.0,3683.0,3446.0,815.0,396.0
3.0,12833.0,5104.0,1731.0,1050.0,220.0,0.0
4.0,17980.0,10342.0,4230.0,4007.0,924.0,498.0
5.0,16960.0,7289.0,2439.0,1525.0,306.0,0.0
6.0,16440.0,7476.0,2409.0,1497.0,274.0,0.0
7.0,13905.0,5818.0,1838.0,1109.0,207.0,0.0
8.0,15732.0,6941.0,2095.0,1278.0,224.0,0.0
9.0,16299.0,6521.0,2136.0,1258.0,213.0,0.0
10.0,15367.0,6783.0,2196.0,1330.0,246.0,0.0
11.0,17082.0,7149.0,2424.0,1392.0,237.0,0.0
12.0,14917.0,6746.0,2320.0,1430.0,262.0,0.0
13.0,14290.0,5950.0,1839.0,1200.0,212.0,0.0
14.0,15905.0,6770.0,2018.0,1287.0,212.0,0.0
15.0,17227.0,7130.0,2312.0,1494.0,262.0,0.0
16.0,13856.0,6057.0,1946.0,1235.0,191.0,0.0
17.0,13012.0,6765.0,3045.0,2573.0,683.0,342.0
18.0,15562.0,6496.0,1968.0,1387.0,247.0,0.0
500.0,3987.0,1827.0,925.0,759.0,258.0,0.0
1000.0,3558.0,3102.0,2207.0,2550.0,981.0,648.0
1500.0,3581.0,4833.0,4403.0,6302.0,3242.0,3090.0
2000.0,3370.0,4638.0,4558.0,7318.0,3553.0,3530.0
5000.0,4237.0,4621.0,2815.0,4597.0,1691.0,1535.0
10000.0,5077.0,8636.0,10655.0,19054.0,9243.0,12090.0
15000.0,5610.0,17426.0,32091.0,91457.0,61616.0,109922.0
30000.0,5122.0,11519.0,17526.0,28903.0,9700.0,11006.0
40000.0,1427.0,4902.0,9052.0,17301.0,6641.0,8955.0
50000.0,4507.0,25482.0,65183.0,165895.0,95891.0,149602.0
