BC,0,7,14,21,28,35
0.0,13439.0,3922.0,1814.0,557.0,494.0,0.0
1.0,12698.0,3991.0,1883.0,515.0,398.0,0.0
2.0,16799.0,5675.0,3297.0,1009.0,2769.0,0.0
3.0,12833.0,3925.0,1776.0,550.0,444.0,0.0
4.0,17980.0,6127.0,3808.0,1174.0,2974.0,0.0
5.0,16960.0,5468.0,2977.0,810.0,704.0,0.0
6.0,16440.0,5477.0,2994.0,816.0,741.0,0.0
7.0,13905.0,4311.0,2040.0,597.0,529.0,0.0
8.0,15732.0,5005.0,2343.0,686.0,503.0,0.0
9.0,16299.0,4828.0,2290.0,613.0,524.0,0.0
10.0,15367.0,4846.0,2450.0,694.0,561.0,0.0
11.0,17082.0,5288.0,2739.0,702.0,654.0,0.0
12.0,14917.0,4946.0,2515.0,788.0,618.0,0.0
13.0,14290.0,4126.0,1875.0,539.0,492.0,0.0
14.0,15905.0,4884.0,2299.0,672.0,562.0,0.0
15.0,17227.0,5305.0,2833.0,762.0,744.0,0.0
16.0,13856.0,4458.0,2243.0,628.0,510.0,0.0
17.0,13012.0,4484.0,2349.0,814.0,2007.0,0.0
18.0,15562.0,4768.0,2313.0,770.0,566.0,0.0
500.0,3987.0,1958.0,1207.0,437.0,166.0,0.0
1000.0,3558.0,2472.0,2031.0,1226.0,718.0,196.0
1500.0,3581.0,4705.0,5336.0,3978.0,3476.0,1292.0
2000.0,3370.0,4248.0,4873.0,4318.0,3639.0,1482.0
5000.0,4237.0,10209.0,11808.0,11868.0,10452.0,3303.0
10000.0,5077.0,10183.0,14883.0,15648.0,12537.0,7067.0
15000.0,5610.0,16767.0,33967.0,41058.0,58543.0,39740.0
30000.0,5122.0,18713.0,30612.0,42285.0,21325.0,12704.0
40000.0,1427.0,8456.0,16124.0,22036.0,15511.0,9415.0
50000.0,4507.0,47411.0,110974.0,187603.0,179963.0,149032.0
