BC,0,7,14,21,28,35
0.0,13439.0,1374.0,2005.0,261.0,773.0,0.0
1.0,12698.0,1465.0,2146.0,211.0,759.0,0.0
2.0,16799.0,1694.0,3008.0,401.0,5727.0,0.0
3.0,12833.0,1427.0,2110.0,245.0,839.0,0.0
4.0,17980.0,1694.0,3412.0,440.0,5668.0,0.0
5.0,16960.0,1748.0,2924.0,386.0,1111.0,0.0
6.0,16440.0,1692.0,2724.0,294.0,1075.0,0.0
7.0,13905.0,1402.0,2199.0,240.0,844.0,0.0
8.0,15732.0,1711.0,2555.0,262.0,947.0,0.0
9.0,16299.0,1554.0,2555.0,322.0,914.0,0.0
10.0,15367.0,1590.0,2527.0,280.0,1031.0,0.0
11.0,17082.0,1605.0,2856.0,277.0,1061.0,0.0
12.0,14917.0,1579.0,2738.0,308.0,1060.0,0.0
13.0,14290.0,1513.0,2216.0,258.0,806.0,0.0
14.0,15905.0,1545.0,2428.0,262.0,890.0,0.0
15.0,17227.0,1674.0,2941.0,340.0,1139.0,0.0
16.0,13856.0,1511.0,2453.0,263.0,846.0,0.0
17.0,13012.0,1434.0,2324.0,350.0,4179.0,0.0
18.0,15562.0,1623.0,2423.0,290.0,1017.0,0.0
500.0,3987.0,619.0,1570.0,236.0,0.0,0.0
1000.0,3558.0,812.0,2545.0,488.0,400.0,0.0
1500.0,3581.0,1203.0,5588.0,1706.0,1689.0,550.0
2000.0,3370.0,1004.0,5052.0,1614.0,1898.0,566.0
5000.0,4237.0,1341.0,6567.0,2203.0,4022.0,699.0
10000.0,5077.0,2061.0,14301.0,4858.0,5696.0,2285.0
15000.0,5610.0,2707.0,23734.0,12261.0,31310.0,8376.0
30000.0,5122.0,3528.0,31573.0,16533.0,9639.0,13202.0
40000.0,1427.0,1199.0,11317.0,10282.0,7335.0,14718.0
50000.0,4507.0,6569.0,73076.0,79780.0,104173.0,146478.0
