BC,0,7,14,21,28,35
0.0,13439.0,1654.0,0.0,0.0,0.0,0.0
1.0,12698.0,2031.0,0.0,0.0,0.0,0.0
2.0,16799.0,1866.0,0.0,206.0,0.0,206.0
3.0,12833.0,1727.0,0.0,0.0,0.0,0.0
4.0,17980.0,1956.0,0.0,236.0,0.0,0.0
5.0,16960.0,2363.0,0.0,0.0,0.0,0.0
6.0,16440.0,1970.0,0.0,0.0,0.0,0.0
7.0,13905.0,1859.0,0.0,0.0,0.0,0.0
8.0,15732.0,2073.0,0.0,0.0,0.0,0.0
9.0,16299.0,1879.0,0.0,0.0,0.0,0.0
10.0,15367.0,1902.0,0.0,0.0,0.0,0.0
11.0,17082.0,2061.0,0.0,0.0,0.0,0.0
12.0,14917.0,2007.0,0.0,0.0,0.0,0.0
13.0,14290.0,1968.0,0.0,0.0,0.0,0.0
14.0,15905.0,2097.0,0.0,0.0,0.0,0.0
15.0,17227.0,1908.0,0.0,0.0,0.0,0.0
16.0,13856.0,1948.0,0.0,0.0,0.0,0.0
17.0,13012.0,1870.0,0.0,254.0,0.0,0.0
18.0,15562.0,2287.0,0.0,0.0,0.0,0.0
500.0,3987.0,522.0,0.0,0.0,0.0,0.0
1000.0,3558.0,779.0,0.0,196.0,0.0,168.0
1500.0,3581.0,1084.0,0.0,198.0,0.0,245.0
2000.0,3370.0,0.0,0.0,0.0,0.0,0.0
5000.0,4237.0,2581.0,0.0,598.0,0.0,319.0
10000.0,5077.0,2712.0,0.0,437.0,0.0,448.0
15000.0,5610.0,3897.0,213.0,3819.0,1286.0,15974.0
30000.0,5122.0,3096.0,0.0,313.0,0.0,176.0
40000.0,1427.0,1524.0,0.0,1160.0,316.0,2546.0
50000.0,4507.0,5532.0,179.0,1021.0,242.0,658.0
