BC,0,7,14,21,28,35
0.0,13439.0,5457.0,3367.0,1863.0,945.0,252.0
1.0,12698.0,5470.0,3567.0,1722.0,860.0,268.0
2.0,16799.0,6403.0,1760.0,891.0,288.0,0.0
3.0,12833.0,5268.0,3431.0,1707.0,895.0,278.0
4.0,17980.0,8046.0,2257.0,1335.0,414.0,0.0
5.0,16960.0,8466.0,5063.0,2755.0,1276.0,422.0
6.0,16440.0,8509.0,5037.0,2588.0,1265.0,365.0
7.0,13905.0,6067.0,3760.0,1918.0,907.0,279.0
8.0,15732.0,7294.0,4258.0,2175.0,1045.0,314.0
9.0,16299.0,7027.0,3994.0,2190.0,1083.0,332.0
10.0,15367.0,6501.0,4008.0,2069.0,995.0,297.0
11.0,17082.0,8146.0,4813.0,2470.0,1189.0,350.0
12.0,14917.0,7564.0,4430.0,2398.0,1140.0,350.0
13.0,14290.0,6046.0,3568.0,1846.0,918.0,286.0
14.0,15905.0,7111.0,4249.0,2194.0,1048.0,328.0
15.0,17227.0,8108.0,4934.0,2655.0,1334.0,371.0
16.0,13856.0,6455.0,4034.0,2074.0,958.0,296.0
17.0,13012.0,4993.0,1514.0,770.0,225.0,0.0
18.0,15562.0,7312.0,4191.0,2361.0,1138.0,328.0
500.0,3987.0,1526.0,764.0,441.0,200.0,0.0
1000.0,3558.0,1856.0,652.0,432.0,165.0,0.0
1500.0,3581.0,3856.0,1454.0,1134.0,560.0,214.0
2000.0,3370.0,366.0,0.0,0.0,0.0,0.0
5000.0,4237.0,9158.0,1427.0,725.0,231.0,0.0
10000.0,5077.0,11201.0,15843.0,23570.0,29127.0,20630.0
15000.0,5610.0,30529.0,17571.0,17458.0,13704.0,7856.0
30000.0,5122.0,24473.0,48317.0,91631.0,112580.0,55503.0
40000.0,1427.0,10301.0,15191.0,28323.0,29594.0,14008.0
50000.0,4507.0,46487.0,68204.0,123032.0,152801.0,93285.0
