BC,0,7,14,21,28,35
0,13439.0,7004.0,5048.0,3320.0,1438.0,663.0
1,12698.0,6779.0,5069.0,2980.0,1466.0,619.0
2,16799.0,8711.0,3360.0,1414.0,454.0,151.0
1500,3581.0,5188.0,3038.0,2074.0,891.0,519.0
4,12833.0,6800.0,5063.0,3219.0,1374.0,585.0
5,17980.0,10143.0,4255.0,1916.0,611.0,241.0
15000,5610.0,34698.0,18066.0,22194.0,15809.0,13963.0
5000,4237.0,11732.0,2753.0,1539.0,395.0,0.0
10000,5077.0,13803.0,23399.0,46991.0,54377.0,66299.0
1000,3558.0,2540.0,1370.0,730.0,267.0,156.0
10,16960.0,9733.0,7062.0,4358.0,1902.0,877.0
11,16440.0,10412.0,7244.0,4616.0,1848.0,979.0
500,3987.0,2220.0,1396.0,735.0,326.0,172.0
13,13905.0,7600.0,5407.0,3286.0,1531.0,703.0
14,15732.0,9129.0,6307.0,3853.0,1651.0,771.0
15,16299.0,8654.0,6326.0,3898.0,1720.0,778.0
16,15367.0,7964.0,5788.0,3681.0,1606.0,711.0
17,17082.0,10131.0,7311.0,4503.0,1883.0,909.0
18,14917.0,9310.0,6646.0,4273.0,1855.0,921.0
50000,4507.0,41169.0,51063.0,114048.0,75084.0,91949.0
40000,1427.0,10777.0,18359.0,38664.0,18869.0,26652.0
21,14290.0,7740.0,5607.0,3329.0,1436.0,664.0
22,15905.0,8912.0,6420.0,3813.0,1626.0,775.0
2000,3370.0,445.0,0.0,0.0,0.0,0.0
24,17227.0,10039.0,7268.0,4718.0,1977.0,917.0
25,13856.0,7997.0,5834.0,3603.0,1585.0,695.0
30000,5122.0,24481.0,52089.0,108652.0,76917.0,76635.0
27,13012.0,6654.0,2675.0,1112.0,378.0,0.0
28,15562.0,8680.0,6487.0,4066.0,1773.0,741.0
