BC,0,7,14,21,28,35
0.0,13439.0,8117.0,1334.0,1194.0,790.0,383.0
1.0,12698.0,7650.0,1408.0,1117.0,846.0,419.0
2.0,16799.0,21170.0,4304.0,7193.0,9672.0,5636.0
3.0,12833.0,7774.0,1452.0,1210.0,907.0,416.0
4.0,17980.0,22775.0,4427.0,6805.0,9513.0,5198.0
5.0,16960.0,12890.0,1958.0,1420.0,1097.0,519.0
6.0,16440.0,12341.0,1665.0,1345.0,1077.0,486.0
7.0,13905.0,8373.0,1347.0,1143.0,853.0,403.0
8.0,15732.0,10931.0,1692.0,1279.0,1032.0,528.0
9.0,16299.0,10280.0,1531.0,1267.0,931.0,473.0
10.0,15367.0,11106.0,1940.0,1494.0,1037.0,539.0
11.0,17082.0,12005.0,1845.0,1155.0,1038.0,529.0
12.0,14917.0,10613.0,1617.0,1267.0,986.0,459.0
13.0,14290.0,8894.0,1335.0,1175.0,877.0,475.0
14.0,15905.0,10814.0,1647.0,1261.0,941.0,523.0
15.0,17227.0,12177.0,1669.0,1368.0,1045.0,451.0
16.0,13856.0,9305.0,1456.0,1244.0,847.0,443.0
17.0,13012.0,14622.0,3064.0,6110.0,7907.0,4989.0
18.0,15562.0,9727.0,1717.0,1388.0,1054.0,482.0
500.0,3987.0,4264.0,918.0,1797.0,2394.0,1850.0
1000.0,3558.0,3292.0,713.0,1519.0,2184.0,971.0
1500.0,3581.0,4813.0,1082.0,2459.0,3710.0,3988.0
2000.0,3370.0,3935.0,675.0,1438.0,2501.0,3833.0
5000.0,4237.0,6073.0,1148.0,1729.0,4022.0,1765.0
10000.0,5077.0,6918.0,929.0,1476.0,1962.0,4426.0
15000.0,5610.0,12904.0,2205.0,3806.0,8337.0,23110.0
30000.0,5122.0,1440.0,0.0,0.0,0.0,13874.0
40000.0,1427.0,36951.0,12534.0,31585.0,51107.0,716.0
50000.0,4507.0,0.0,0.0,0.0,0.0,5077.0
