BC,0,7,14,21,28,35
0.0,13439.0,5840.0,6914.0,3489.0,2408.0,690.0
1.0,12698.0,6155.0,7286.0,3486.0,2441.0,667.0
2.0,16799.0,9743.0,19077.0,12403.0,17689.0,6259.0
3.0,12833.0,5909.0,6649.0,3554.0,2398.0,672.0
4.0,17980.0,10295.0,19433.0,12365.0,17070.0,5623.0
5.0,16960.0,7845.0,9741.0,4536.0,3713.0,884.0
6.0,16440.0,7659.0,10440.0,4651.0,3778.0,996.0
7.0,13905.0,6346.0,8004.0,3708.0,2801.0,695.0
8.0,15732.0,7709.0,9362.0,4154.0,3101.0,821.0
9.0,16299.0,7205.0,9327.0,4190.0,3329.0,872.0
10.0,15367.0,7316.0,8611.0,4323.0,3346.0,874.0
11.0,17082.0,7599.0,9832.0,4389.0,3601.0,919.0
12.0,14917.0,7145.0,8929.0,4360.0,3569.0,877.0
13.0,14290.0,6538.0,8015.0,3800.0,2950.0,845.0
14.0,15905.0,7411.0,8576.0,4008.0,3005.0,786.0
15.0,17227.0,7744.0,9513.0,4502.0,3592.0,912.0
16.0,13856.0,6845.0,8013.0,3878.0,2930.0,809.0
17.0,13012.0,8001.0,14697.0,9863.0,13411.0,5107.0
18.0,15562.0,7514.0,8189.0,4263.0,3038.0,823.0
500.0,3987.0,2080.0,3423.0,2465.0,2631.0,937.0
1000.0,3558.0,2644.0,5349.0,5847.0,7295.0,3261.0
1500.0,3581.0,4272.0,11237.0,12564.0,19974.0,10859.0
2000.0,3370.0,3828.0,10119.0,13870.0,22377.0,11935.0
5000.0,4237.0,6972.0,13713.0,11415.0,14080.0,4611.0
10000.0,5077.0,10163.0,26356.0,29527.0,39545.0,22154.0
15000.0,5610.0,16269.0,68397.0,115403.0,237287.0,187949.0
30000.0,5122.0,1748.0,598.0,0.0,0.0,0.0
40000.0,1427.0,879.0,418.0,0.0,0.0,0.0
50000.0,4507.0,3427.0,2482.0,810.0,323.0,0.0
