BC,0,7,14,21,28,35
0,13439.0,7147.0,5067.0,3880.0,1550.0,563.0
1,12698.0,7002.0,5246.0,3809.0,1527.0,621.0
2,16799.0,12033.0,12282.0,16005.0,9914.0,5111.0
1500,3581.0,5186.0,6898.0,13502.0,10123.0,8529.0
4,12833.0,7088.0,5230.0,3901.0,1644.0,541.0
5,17980.0,12643.0,12533.0,15673.0,9282.0,4701.0
15000,5610.0,19861.0,50684.0,134917.0,144367.0,145607.0
5000,4237.0,8489.0,8317.0,15108.0,8856.0,4107.0
10000,5077.0,12539.0,16937.0,38686.0,24811.0,18870.0
1000,3558.0,3223.0,3588.0,6478.0,4071.0,2502.0
10,16960.0,9272.0,6711.0,5338.0,2152.0,851.0
11,16440.0,9289.0,7109.0,5591.0,2197.0,892.0
500,3987.0,2490.0,2240.0,2875.0,1583.0,877.0
13,13905.0,7640.0,5707.0,4171.0,1677.0,705.0
14,15732.0,8925.0,6761.0,4894.0,1918.0,806.0
15,16299.0,8487.0,6426.0,4881.0,2010.0,766.0
16,15367.0,8856.0,6394.0,5136.0,2085.0,825.0
17,17082.0,9169.0,6953.0,5386.0,2180.0,834.0
18,14917.0,8788.0,6267.0,5298.0,2051.0,860.0
50000,4507.0,3716.0,1504.0,878.0,198.0,0.0
40000,1427.0,1028.0,306.0,0.0,0.0,0.0
21,14290.0,7787.0,5788.0,4285.0,1831.0,771.0
22,15905.0,8560.0,6266.0,4750.0,1854.0,735.0
2000,3370.0,4567.0,6809.0,15654.0,12325.0,9604.0
24,17227.0,9255.0,6986.0,5564.0,2223.0,784.0
25,13856.0,7995.0,5956.0,4436.0,1861.0,715.0
30000,5122.0,2099.0,464.0,0.0,0.0,0.0
27,13012.0,9636.0,9549.0,11719.0,7473.0,4229.0
28,15562.0,8784.0,6314.0,4816.0,1954.0,742.0
