BC,0,7,14,21,28,35
0.0,13439.0,4297.0,631.0,161.0,0.0,0.0
1.0,12698.0,4248.0,717.0,178.0,0.0,0.0
2.0,16799.0,6712.0,830.0,326.0,0.0,0.0
3.0,12833.0,4150.0,616.0,168.0,0.0,0.0
4.0,17980.0,7303.0,966.0,336.0,0.0,0.0
5.0,16960.0,6534.0,811.0,226.0,0.0,0.0
6.0,16440.0,6377.0,788.0,215.0,0.0,0.0
7.0,13905.0,4610.0,680.0,167.0,0.0,0.0
8.0,15732.0,5950.0,788.0,209.0,0.0,0.0
9.0,16299.0,5577.0,716.0,169.0,0.0,0.0
10.0,15367.0,5685.0,707.0,205.0,0.0,0.0
11.0,17082.0,6049.0,786.0,194.0,0.0,0.0
12.0,14917.0,5810.0,743.0,225.0,0.0,0.0
13.0,14290.0,4833.0,670.0,187.0,0.0,0.0
14.0,15905.0,5630.0,734.0,195.0,0.0,0.0
15.0,17227.0,6199.0,781.0,199.0,0.0,0.0
16.0,13856.0,4928.0,681.0,177.0,0.0,0.0
17.0,13012.0,4949.0,729.0,240.0,0.0,0.0
18.0,15562.0,5343.0,733.0,189.0,0.0,0.0
500.0,3987.0,2224.0,541.0,173.0,0.0,0.0
1000.0,3558.0,2930.0,765.0,334.0,0.0,0.0
1500.0,3581.0,4746.0,2022.0,1342.0,490.0,404.0
2000.0,3370.0,3739.0,1695.0,1107.0,386.0,299.0
5000.0,4237.0,5948.0,2329.0,1947.0,683.0,591.0
10000.0,5077.0,7085.0,4516.0,3379.0,1335.0,1257.0
15000.0,5610.0,11857.0,6873.0,9836.0,4488.0,9219.0
30000.0,5122.0,12138.0,10906.0,17645.0,10023.0,18893.0
40000.0,1427.0,4842.0,4188.0,10281.0,7227.0,21911.0
50000.0,4507.0,28091.0,29784.0,81320.0,64351.0,191756.0
