BC,0,7,14,21,28,35
0,11054.0,1456.0,0.0,0.0,0.0,0.0
1,10787.0,1014.0,0.0,0.0,0.0,0.0
2,14365.0,874.0,0.0,0.0,0.0,0.0
3,10519.0,968.0,0.0,0.0,0.0,0.0
50000,2096.0,98753.0,170138.0,313474.0,211052.0,131536.0
5,15207.0,1101.0,0.0,0.0,0.0,0.0
30000,2337.0,25061.0,6417.0,4710.0,1065.0,163.0
10000,2300.0,13337.0,3142.0,1621.0,263.0,0.0
15000,1829.0,7524.0,967.0,418.0,0.0,0.0
9,13514.0,1564.0,0.0,0.0,0.0,0.0
20000,2955.0,10572.0,1771.0,623.0,0.0,0.0
11,13404.0,1544.0,0.0,0.0,0.0,0.0
12,11215.0,1418.0,0.0,0.0,0.0,0.0
13,12817.0,1312.0,0.0,0.0,0.0,0.0
14,12675.0,1398.0,0.0,0.0,0.0,0.0
15,12630.0,842.0,0.0,0.0,0.0,0.0
2000,1384.0,0.0,0.0,0.0,0.0,0.0
1500,4401.0,940.0,0.0,0.0,0.0,0.0
18,13688.0,2073.0,0.0,0.0,0.0,0.0
19,12579.0,1600.0,0.0,0.0,0.0,0.0
5000,2878.0,740.0,0.0,0.0,0.0,0.0
40000,2911.0,65890.0,30857.0,40572.0,8555.0,1812.0
1000,2718.0,618.0,0.0,0.0,0.0,0.0
23,11630.0,1412.0,0.0,0.0,0.0,0.0
24,12687.0,1740.0,0.0,0.0,0.0,0.0
25,13822.0,2067.0,0.0,0.0,0.0,0.0
26,11092.0,1226.0,0.0,0.0,0.0,0.0
500,4482.0,664.0,0.0,0.0,0.0,0.0
28,10871.0,775.0,0.0,0.0,0.0,0.0
29,12567.0,1696.0,0.0,0.0,0.0,0.0
