BC,0,7,14,21,28,35
0,11054.0,6904.0,708.0,280.0,0.0,0.0
1,10787.0,6799.0,775.0,268.0,0.0,0.0
2,14365.0,11054.0,1162.0,586.0,0.0,0.0
3,10519.0,6661.0,723.0,281.0,0.0,0.0
50000,2096.0,28530.0,17475.0,66110.0,62764.0,71477.0
5,15207.0,11512.0,1084.0,652.0,0.0,0.0
30000,2337.0,10222.0,6067.0,11675.0,8642.0,3798.0
10000,2300.0,9191.0,3729.0,5605.0,3296.0,648.0
15000,1829.0,8823.0,4129.0,7184.0,4795.0,1721.0
9,13514.0,8482.0,873.0,320.0,0.0,0.0
20000,2955.0,15480.0,4550.0,5241.0,2164.0,399.0
11,13404.0,9540.0,853.0,355.0,0.0,0.0
12,11215.0,7644.0,753.0,291.0,0.0,0.0
13,12817.0,9153.0,840.0,331.0,0.0,0.0
14,12675.0,8410.0,833.0,334.0,0.0,0.0
15,12630.0,8404.0,746.0,333.0,0.0,0.0
2000,1384.0,328.0,0.0,0.0,0.0,0.0
1500,4401.0,3794.0,431.0,237.0,0.0,0.0
18,13688.0,9736.0,849.0,381.0,0.0,0.0
19,12579.0,8280.0,798.0,393.0,0.0,0.0
5000,2878.0,3694.0,481.0,302.0,0.0,0.0
40000,2911.0,21167.0,12119.0,25785.0,26585.0,11562.0
1000,2718.0,2685.0,375.0,218.0,0.0,0.0
23,11630.0,7627.0,747.0,300.0,0.0,0.0
24,12687.0,9055.0,854.0,348.0,0.0,0.0
25,13822.0,9562.0,793.0,367.0,0.0,0.0
26,11092.0,7670.0,846.0,307.0,0.0,0.0
500,4482.0,3214.0,452.0,190.0,0.0,0.0
28,10871.0,8502.0,1002.0,474.0,0.0,0.0
29,12567.0,8466.0,836.0,326.0,0.0,0.0
