BC,0,7,14,21,28,35
0,11054.0,3798.0,2395.0,397.0,0.0,0.0
1,10787.0,4020.0,2540.0,385.0,0.0,0.0
2,14365.0,5559.0,2670.0,247.0,0.0,0.0
3,10519.0,3729.0,2496.0,458.0,0.0,0.0
50000,2096.0,917.0,1029.0,226.0,0.0,0.0
5,15207.0,5873.0,2858.0,348.0,0.0,0.0
30000,2337.0,657.0,1647.0,378.0,0.0,0.0
10000,2300.0,479.0,1700.0,1004.0,316.0,0.0
15000,1829.0,526.0,665.0,206.0,0.0,0.0
9,13514.0,4653.0,2881.0,521.0,200.0,0.0
20000,2955.0,1499.0,5457.0,5664.0,2465.0,282.0
11,13404.0,4581.0,2697.0,440.0,0.0,0.0
12,11215.0,4042.0,2519.0,414.0,0.0,0.0
13,12817.0,4828.0,3051.0,801.0,2156.0,1805.0
14,12675.0,4253.0,2741.0,435.0,0.0,0.0
15,12630.0,4651.0,3008.0,491.0,0.0,0.0
2000,1384.0,1001.0,4957.0,44054.0,136995.0,35596.0
1500,4401.0,1379.0,610.0,0.0,0.0,0.0
18,13688.0,4504.0,2800.0,410.0,0.0,0.0
19,12579.0,4285.0,2701.0,451.0,0.0,0.0
5000,2878.0,777.0,237.0,0.0,0.0,0.0
40000,2911.0,599.0,1074.0,3913.0,25880.0,16238.0
1000,2718.0,1319.0,790.0,158.0,0.0,0.0
23,11630.0,4038.0,2584.0,450.0,0.0,0.0
24,12687.0,4549.0,2998.0,452.0,0.0,0.0
25,13822.0,4606.0,2817.0,491.0,0.0,0.0
26,11092.0,4193.0,2666.0,384.0,0.0,0.0
500,4482.0,1575.0,5092.0,5401.0,1603.0,166.0
28,10871.0,4606.0,2230.0,239.0,279.0,164.0
29,12567.0,4547.0,2877.0,425.0,0.0,0.0
