BC,0,7,14,21,28,35
0,3575.0,6383.0,446.0,263.0,0.0,0.0
1,3417.0,6417.0,448.0,249.0,0.0,0.0
40000,2508.0,6633.0,3285.0,11545.0,125976.0,137739.0
3,3728.0,8737.0,506.0,257.0,0.0,0.0
4,3374.0,6162.0,457.0,284.0,0.0,0.0
5,4061.0,9774.0,486.0,277.0,0.0,0.0
2000,2728.0,3148.0,478.0,444.0,0.0,0.0
50000,1660.0,23566.0,18683.0,62226.0,34978.0,3265.0
8,4186.0,8424.0,501.0,320.0,0.0,0.0
15000,1986.0,2621.0,503.0,297.0,0.0,0.0
30000,2179.0,10431.0,5044.0,7806.0,1475.0,163.0
10000,2157.0,7072.0,2319.0,5398.0,2005.0,338.0
12,4112.0,8852.0,544.0,354.0,0.0,0.0
13,3716.0,7363.0,441.0,320.0,0.0,0.0
14,4099.0,8191.0,521.0,304.0,0.0,0.0
15,3945.0,7772.0,489.0,345.0,0.0,0.0
5000,1701.0,16908.0,16456.0,28899.0,7267.0,493.0
1000,2458.0,2481.0,622.0,794.0,318.0,0.0
18,3784.0,7200.0,453.0,340.0,0.0,0.0
19,4160.0,8667.0,481.0,327.0,0.0,0.0
20,3796.0,8397.0,462.0,311.0,0.0,0.0
500,648.0,538.0,0.0,202.0,0.0,0.0
22,3852.0,7112.0,464.0,308.0,0.0,0.0
23,3950.0,8188.0,510.0,337.0,0.0,0.0
1500,1971.0,2427.0,431.0,380.0,0.0,0.0
25,4288.0,9051.0,514.0,362.0,0.0,0.0
26,3485.0,7327.0,482.0,343.0,0.0,0.0
27,3120.0,6561.0,476.0,217.0,0.0,0.0
28,4014.0,7872.0,510.0,343.0,0.0,0.0
