BC,0,7,14,21,28,35
0,3575.0,1255.0,1111.0,330.0,0.0,0.0
1,3417.0,1523.0,1398.0,356.0,0.0,0.0
40000,2508.0,4127.0,47923.0,116569.0,97762.0,126798.0
3,3728.0,2910.0,4798.0,1519.0,238.0,0.0
4,3374.0,1361.0,1439.0,319.0,0.0,0.0
5,4061.0,2844.0,4053.0,1415.0,248.0,0.0
2000,2728.0,1530.0,5884.0,4215.0,1459.0,610.0
50000,1660.0,1745.0,4073.0,1781.0,364.0,287.0
8,4186.0,1718.0,1843.0,464.0,0.0,0.0
15000,1986.0,1928.0,10522.0,9178.0,5058.0,7466.0
30000,2179.0,2664.0,37190.0,49227.0,38347.0,40542.0
10000,2157.0,1450.0,4864.0,2604.0,644.0,734.0
12,4112.0,1722.0,1857.0,408.0,0.0,0.0
13,3716.0,1524.0,1466.0,369.0,0.0,0.0
14,4099.0,1919.0,1948.0,432.0,0.0,0.0
15,3945.0,1681.0,1801.0,395.0,0.0,0.0
5000,1701.0,0.0,0.0,0.0,0.0,0.0
1000,2458.0,366.0,401.0,0.0,0.0,0.0
18,3784.0,1697.0,1809.0,452.0,0.0,0.0
19,4160.0,1751.0,1856.0,450.0,0.0,0.0
20,3796.0,1629.0,1842.0,410.0,0.0,0.0
500,648.0,0.0,0.0,0.0,0.0,0.0
22,3852.0,1533.0,1606.0,378.0,0.0,0.0
23,3950.0,1758.0,1741.0,500.0,0.0,0.0
1500,1971.0,570.0,894.0,239.0,0.0,0.0
25,4288.0,1623.0,1780.0,423.0,0.0,0.0
26,3485.0,1662.0,1680.0,685.0,458.0,174.0
27,3120.0,2603.0,3670.0,1219.0,201.0,0.0
28,4014.0,1548.0,1522.0,383.0,0.0,0.0
