BC,0,7,14,21,28,35
0,3575.0,4161.0,1365.0,276.0,0.0,0.0
1,3417.0,4025.0,1455.0,263.0,0.0,0.0
40000,2508.0,8883.0,23289.0,18113.0,10965.0,7564.0
3,3728.0,8346.0,5152.0,1826.0,663.0,0.0
4,3374.0,4022.0,1518.0,273.0,0.0,0.0
5,4061.0,10403.0,6079.0,2099.0,608.0,0.0
2000,2728.0,6094.0,7138.0,3798.0,2359.0,762.0
50000,1660.0,35584.0,92597.0,124924.0,130117.0,162062.0
8,4186.0,5926.0,1947.0,361.0,0.0,0.0
15000,1986.0,12592.0,18009.0,9109.0,5645.0,3801.0
30000,2179.0,5631.0,6183.0,3787.0,1969.0,652.0
10000,2157.0,17397.0,42789.0,67933.0,65977.0,54129.0
12,4112.0,6519.0,1990.0,398.0,0.0,0.0
13,3716.0,4737.0,1632.0,305.0,0.0,0.0
14,4099.0,5810.0,1780.0,385.0,0.0,0.0
15,3945.0,5196.0,1721.0,317.0,0.0,0.0
5000,1701.0,12306.0,15612.0,28097.0,20404.0,19551.0
1000,2458.0,2711.0,4315.0,2409.0,1336.0,465.0
18,3784.0,5956.0,2060.0,439.0,0.0,0.0
19,4160.0,6798.0,2025.0,433.0,0.0,0.0
20,3796.0,6049.0,1938.0,401.0,0.0,0.0
500,648.0,459.0,215.0,0.0,0.0,0.0
22,3852.0,4407.0,1552.0,314.0,0.0,0.0
23,3950.0,5821.0,1824.0,376.0,0.0,0.0
1500,1971.0,3448.0,3087.0,1623.0,731.0,227.0
25,4288.0,6484.0,2075.0,407.0,0.0,0.0
26,3485.0,5126.0,1692.0,323.0,0.0,0.0
27,3120.0,5565.0,3850.0,1311.0,576.0,0.0
28,4014.0,5319.0,1738.0,380.0,0.0,0.0
