BC,0,7,14,21,28,35
0,3575.0,6339.0,1531.0,707.0,0.0,0.0
1,3417.0,6535.0,1593.0,643.0,0.0,0.0
40000,2508.0,8145.0,7934.0,11585.0,5574.0,5351.0
3,3728.0,12527.0,3262.0,1787.0,419.0,271.0
4,3374.0,6432.0,1609.0,690.0,0.0,0.0
5,4061.0,13863.0,3680.0,1942.0,453.0,270.0
2000,2728.0,9565.0,6152.0,6255.0,2520.0,2791.0
50000,1660.0,41149.0,43625.0,99037.0,95251.0,142863.0
8,4186.0,9269.0,1987.0,839.0,0.0,0.0
15000,1986.0,9016.0,7328.0,6564.0,3262.0,3654.0
30000,2179.0,7492.0,5621.0,8170.0,4443.0,5048.0
10000,2157.0,27375.0,23750.0,44796.0,32104.0,54709.0
12,4112.0,9670.0,2134.0,853.0,0.0,0.0
13,3716.0,7422.0,1599.0,690.0,0.0,0.0
14,4099.0,9017.0,1978.0,802.0,0.0,0.0
15,3945.0,8251.0,1979.0,859.0,0.0,0.0
5000,1701.0,15519.0,12849.0,23793.0,17523.0,25111.0
1000,2458.0,5355.0,2329.0,1751.0,600.0,461.0
18,3784.0,9246.0,2171.0,982.0,168.0,0.0
19,4160.0,9625.0,2056.0,815.0,0.0,0.0
20,3796.0,9056.0,2073.0,869.0,0.0,0.0
500,648.0,794.0,274.0,174.0,0.0,0.0
22,3852.0,7327.0,1674.0,654.0,0.0,0.0
23,3950.0,9147.0,2052.0,772.0,0.0,0.0
1500,1971.0,5669.0,2677.0,2407.0,944.0,711.0
25,4288.0,9742.0,2095.0,820.0,156.0,0.0
26,3485.0,7931.0,1797.0,748.0,0.0,0.0
27,3120.0,8685.0,2571.0,1442.0,375.0,178.0
28,4014.0,8332.0,1925.0,798.0,151.0,0.0
