BC,0,7,14,21,28,35
0,3575.0,6661.0,1985.0,1237.0,291.0,0.0
1,3417.0,6790.0,2040.0,1343.0,319.0,0.0
40000,2508.0,23229.0,27040.0,77107.0,57380.0,2599.0
3,3728.0,11108.0,3357.0,2548.0,657.0,0.0
4,3374.0,6991.0,2129.0,1391.0,323.0,0.0
5,4061.0,11627.0,3481.0,2605.0,639.0,0.0
2000,2728.0,8900.0,4440.0,6434.0,2870.0,0.0
50000,1660.0,37994.0,30054.0,97518.0,99115.0,8038.0
8,4186.0,9027.0,2731.0,1691.0,407.0,0.0
15000,1986.0,13727.0,19462.0,38193.0,22449.0,1089.0
30000,2179.0,27783.0,34955.0,97289.0,76013.0,4124.0
10000,2157.0,20984.0,16793.0,49022.0,38871.0,1989.0
12,4112.0,9577.0,2769.0,1747.0,410.0,0.0
13,3716.0,8029.0,2255.0,1491.0,288.0,0.0
14,4099.0,9322.0,2943.0,1698.0,378.0,0.0
15,3945.0,8434.0,2532.0,1662.0,391.0,0.0
5000,1701.0,7516.0,1713.0,3099.0,1332.0,0.0
1000,2458.0,7556.0,1366.0,1603.0,544.0,0.0
18,3784.0,8894.0,2606.0,1762.0,423.0,0.0
19,4160.0,9713.0,2988.0,1952.0,464.0,0.0
20,3796.0,8799.0,2745.0,1789.0,417.0,0.0
500,648.0,1056.0,397.0,480.0,199.0,0.0
22,3852.0,7716.0,2300.0,1445.0,327.0,0.0
23,3950.0,9372.0,2706.0,1704.0,369.0,0.0
1500,1971.0,7851.0,3442.0,4892.0,2113.0,0.0
25,4288.0,9332.0,2904.0,1802.0,456.0,0.0
26,3485.0,8223.0,2423.0,1533.0,336.0,0.0
27,3120.0,8242.0,2477.0,1832.0,455.0,0.0
28,4014.0,8351.0,2479.0,1678.0,382.0,0.0
