BC,0,7,14,21,28,35
0,3575.0,6280.0,1320.0,544.0,0.0,0.0
1,3417.0,6855.0,1437.0,561.0,0.0,0.0
40000,2508.0,14852.0,18414.0,32512.0,24118.0,16843.0
3,3728.0,9508.0,1868.0,853.0,151.0,0.0
4,3374.0,6444.0,1520.0,563.0,0.0,0.0
5,4061.0,9548.0,1924.0,829.0,0.0,0.0
2000,2728.0,5610.0,3366.0,2823.0,1007.0,271.0
50000,1660.0,15260.0,22622.0,55860.0,38473.0,38629.0
8,4186.0,8733.0,1869.0,670.0,0.0,0.0
15000,1986.0,11312.0,10990.0,16496.0,11075.0,6894.0
30000,2179.0,7800.0,8419.0,21465.0,11963.0,8516.0
10000,2157.0,10362.0,9101.0,15606.0,7154.0,3849.0
12,4112.0,8597.0,1831.0,652.0,0.0,0.0
13,3716.0,7538.0,1473.0,516.0,0.0,0.0
14,4099.0,8999.0,1832.0,638.0,0.0,0.0
15,3945.0,7820.0,1634.0,580.0,0.0,0.0
5000,1701.0,8072.0,5334.0,4103.0,1466.0,724.0
1000,2458.0,5189.0,2380.0,1600.0,523.0,154.0
18,3784.0,8282.0,1774.0,723.0,0.0,0.0
19,4160.0,9498.0,1919.0,690.0,153.0,0.0
20,3796.0,8326.0,1829.0,697.0,0.0,0.0
500,648.0,661.0,342.0,255.0,0.0,0.0
22,3852.0,7256.0,1548.0,560.0,0.0,0.0
23,3950.0,8641.0,1785.0,682.0,0.0,0.0
1500,1971.0,4992.0,2605.0,2346.0,739.0,238.0
25,4288.0,8706.0,1773.0,677.0,0.0,0.0
26,3485.0,7700.0,1661.0,605.0,0.0,0.0
27,3120.0,7512.0,1595.0,700.0,0.0,0.0
28,4014.0,8217.0,1747.0,599.0,0.0,0.0
