BC,0,7,14,21,28,35
0,3575.0,6674.0,2375.0,5336.0,2830.0,266.0
1,3417.0,6714.0,2513.0,5311.0,2740.0,378.0
40000,2508.0,2032.0,1099.0,5828.0,2563.0,0.0
3,3728.0,17446.0,7888.0,34943.0,20776.0,5952.0
4,3374.0,6430.0,2365.0,5253.0,2883.0,339.0
5,4061.0,17886.0,8118.0,34356.0,20399.0,5424.0
2000,2728.0,3668.0,2037.0,9107.0,5286.0,1558.0
50000,1660.0,5027.0,3449.0,32819.0,20092.0,2386.0
8,4186.0,9330.0,3040.0,7238.0,3559.0,490.0
15000,1986.0,3077.0,1799.0,11432.0,4782.0,0.0
30000,2179.0,3242.0,1523.0,4463.0,2035.0,257.0
10000,2157.0,5171.0,2848.0,22471.0,13177.0,174973.0
12,4112.0,9516.0,2813.0,7434.0,3421.0,469.0
13,3716.0,7686.0,2567.0,5996.0,2966.0,296.0
14,4099.0,9473.0,3285.0,7146.0,3658.0,348.0
15,3945.0,8742.0,2957.0,6810.0,3285.0,301.0
5000,1701.0,432.0,0.0,335.0,0.0,54869.0
1000,2458.0,2868.0,1245.0,4428.0,2639.0,3384.0
18,3784.0,8995.0,2967.0,7380.0,3578.0,452.0
19,4160.0,9901.0,2962.0,7606.0,3704.0,476.0
20,3796.0,8563.0,2759.0,6968.0,3533.0,431.0
500,648.0,398.0,176.0,641.0,340.0,351.0
22,3852.0,7607.0,2597.0,5945.0,3044.0,342.0
23,3950.0,9188.0,3002.0,6846.0,3423.0,455.0
1500,1971.0,3191.0,1790.0,10187.0,6223.0,1787.0
25,4288.0,9591.0,2973.0,7763.0,3658.0,451.0
26,3485.0,7945.0,2713.0,6352.0,3076.0,417.0
27,3120.0,12976.0,6626.0,26389.0,15802.0,3914.0
28,4014.0,8503.0,2955.0,6944.0,3390.0,380.0
