BC,0,7,14,21,28,35
0,3575.0,4269.0,1113.0,629.0,0.0,0.0
1,3417.0,4366.0,1071.0,633.0,0.0,0.0
40000,2508.0,9276.0,9284.0,28901.0,5881.0,49342.0
3,3728.0,6258.0,1623.0,1183.0,0.0,163.0
4,3374.0,4307.0,1095.0,678.0,0.0,0.0
5,4061.0,6609.0,1668.0,1171.0,0.0,0.0
2000,2728.0,4476.0,2538.0,2842.0,257.0,1492.0
50000,1660.0,12636.0,15640.0,69816.0,12341.0,146017.0
8,4186.0,5222.0,1328.0,724.0,0.0,0.0
15000,1986.0,8931.0,8000.0,19339.0,3460.0,27637.0
30000,2179.0,6639.0,6247.0,28066.0,4234.0,46305.0
10000,2157.0,7833.0,7597.0,21194.0,2150.0,26264.0
12,4112.0,5398.0,1458.0,760.0,0.0,0.0
13,3716.0,4774.0,1161.0,708.0,0.0,0.0
14,4099.0,5657.0,1403.0,748.0,0.0,0.0
15,3945.0,5056.0,1255.0,724.0,0.0,0.0
5000,1701.0,6628.0,1561.0,2043.0,0.0,590.0
1000,2458.0,3755.0,1553.0,1120.0,0.0,335.0
18,3784.0,5137.0,1434.0,827.0,0.0,0.0
19,4160.0,5516.0,1380.0,805.0,0.0,0.0
20,3796.0,5016.0,1301.0,793.0,0.0,0.0
500,648.0,538.0,255.0,254.0,0.0,0.0
22,3852.0,4768.0,1255.0,680.0,0.0,0.0
23,3950.0,5210.0,1334.0,696.0,0.0,0.0
1500,1971.0,3453.0,2273.0,3113.0,185.0,1393.0
25,4288.0,5286.0,1363.0,805.0,0.0,0.0
26,3485.0,4733.0,1232.0,706.0,0.0,0.0
27,3120.0,5110.0,1275.0,982.0,0.0,0.0
28,4014.0,4999.0,1309.0,759.0,0.0,0.0
