BC,0,7,14,21,28,35
0,7890.0,8744.0,4500.0,1506.0,251.0,1306.0
1,7264.0,9587.0,4100.0,1228.0,218.0,1376.0
10000,2218.0,6573.0,7519.0,8291.0,1977.0,0.0
3,7572.0,22832.0,21488.0,12927.0,3883.0,21415.0
4,7247.0,8364.0,4333.0,1379.0,264.0,1427.0
15000,1132.0,810.0,1296.0,906.0,230.0,0.0
20000,3490.0,3688.0,2259.0,1577.0,245.0,8399.0
7,8373.0,24263.0,19773.0,10308.0,3286.0,19101.0
2000,2291.0,5112.0,5411.0,2811.0,546.0,3213.0
1000,2340.0,4812.0,5407.0,3214.0,902.0,6393.0
10,8408.0,14233.0,6213.0,2028.0,404.0,1658.0
11,8387.0,13949.0,6484.0,1923.0,338.0,1632.0
50000,2436.0,3011.0,2138.0,2450.0,382.0,26508.0
13,7346.0,11160.0,4408.0,1127.0,219.0,1503.0
14,8493.0,13761.0,5818.0,1644.0,320.0,1791.0
15,8401.0,12830.0,5390.0,1496.0,308.0,1509.0
30000,1399.0,4027.0,4882.0,4036.0,948.0,19972.0
17,7885.0,11702.0,5849.0,1718.0,381.0,1579.0
18,8810.0,14113.0,6196.0,1662.0,284.0,1779.0
19,8423.0,11481.0,5663.0,1758.0,363.0,1621.0
500,2078.0,3455.0,2089.0,833.0,206.0,1438.0
5000,2088.0,4516.0,4876.0,4633.0,1093.0,8555.0
22,7937.0,9989.0,4499.0,1280.0,248.0,1471.0
23,8222.0,12466.0,5706.0,1716.0,275.0,1681.0
24,9224.0,12965.0,6336.0,1966.0,393.0,1611.0
25,7688.0,11602.0,4914.0,1294.0,260.0,1425.0
26,6289.0,16590.0,14428.0,7272.0,2444.0,18140.0
40000,1692.0,1744.0,115378.0,250952.0,141196.0,4518.0
28,8361.0,11145.0,4976.0,1452.0,296.0,1567.0
