BC,0,7,14,21,28,35
0,4085,3,0,0,0,0
1,3898,2540,449,39,3,0
2,5130,3231,550,56,2,0
3,3953,2486,466,30,3,0
4,5541,3444,639,51,6,0
5,5194,3187,572,44,6,1
6,5024,3041,536,45,4,0
7,4195,2543,446,38,2,0
8,4751,3092,564,47,5,0
9,5107,2893,460,38,1,0
10,4710,2972,544,41,6,0
11,5304,3187,518,34,1,0
12,4570,2861,515,49,3,0
13,4312,2750,478,32,3,0
14,4931,2970,525,40,3,0
15,5310,2963,503,29,0,0
16,4348,2661,539,44,2,0
17,3986,2716,486,47,3,0
18,4829,3014,545,38,4,0
500,1245,0,0,0,0,0
1000,1146,1215,368,44,7,0
1500,1037,2719,2050,770,234,55
2000,988,2382,1699,566,147,30
5000,1170,3175,2352,869,252,65
10000,1287,5474,6819,3842,1656,780
15000,1347,7361,11745,8918,5329,2974
30000,1405,8511,15288,13018,8727,5530
40000,290,2647,6686,7827,7653,6521
50000,1223,13608,43130,63773,76158,83742
