BC,0,7,14,21,28,35
0,3989,3,0,0,0,0
1,3738,2812,1355,400,67,23
2,4485,4851,3431,1514,540,158
3,3924,2825,1243,367,91,14
4,4775,5355,3665,1681,566,187
5,5062,3739,1812,602,131,29
6,4791,3583,1709,494,106,24
7,4144,3003,1409,365,74,23
8,4750,3556,1656,485,105,17
9,4854,3310,1512,431,86,11
10,4561,3342,1628,523,125,22
11,5059,3604,1666,500,110,17
12,4491,3254,1671,523,106,20
13,4441,2933,1418,406,79,15
14,4591,3335,1476,400,95,18
15,5066,3752,1820,560,112,13
16,4131,3010,1437,438,97,20
17,3445,3874,2875,1245,371,118
18,4622,3348,1557,472,115,14
500,1263,967,474,143,30,7
1000,1187,1175,759,345,99,21
1500,1176,1828,1740,1063,516,206
2000,1054,1640,1662,1012,505,232
5000,1314,2124,2234,1503,710,286
10000,1729,3343,4290,3312,1916,999
15000,1825,4877,8220,8774,6933,4988
30000,2336,6240,10321,10909,8102,5536
40000,609,2066,4698,6693,7081,6670
50000,2808,11842,32449,55077,70695,80174
