BC,10,20,30
ref6,13550,10019,26271
ref7,14215,13470,25346
ref8,8246,11334,31031
ref9,15723,8362,29894
ref10,13950,9993,34252
P1_H2,3463,1349,4188
P2_H2,948,958,3631
P1_G2,0,0,253
P2_G2,2614,4537,9132
P1_F2,1944,2253,3295
P2_F2,3594,1398,2450
P1_E2,5283,1123,2852
P2_E2,2059,2149,4567
P1_D2,323,196,1839
P2_D2,1902,4621,7949
P1_C2,812,1205,1711
P2_C2,1419,295,4428
P1_B2,2839,1912,6334
P2_B2,2057,1259,2773
P1_A2,1904,1125,2355
P2_A2,3222,754,5554
P1_H1,2332,3070,8450
P2_H1,690,654,2771
P2_G1,3641,2373,6318
P1_F1,1169,2106,2421
P2_F1,1146,3018,4068
P1_E1,3133,2050,8499
P2_E1,2414,470,5278
P1_D1,2685,559,4412
P2_D1,1539,1103,2731
P1_C1,1471,287,1393
P2_C1,3105,2871,5054
P2_B1,1627,3823,3221
P1_A1,5246,1705,4959
P5_A11,1368,0,743
P4_H2,758,325,2443
P5_H2,1012,835,2447
P5_B11,0,0,1739
P4_G2,1311,1036,2591
P5_G2,2376,1194,2456
P5_C11,107,0,256
P4_F2,860,485,3129
P5_F2,1323,1355,2181
P5_D11,170,0,1116
P4_E2,3513,722,4588
P5_E2,584,202,2112
P5_E11,0,0,133
P4_D2,2058,194,6699
P5_D2,1166,962,2287
P5_F11,220,0,208
P4_C2,1925,472,3158
P5_C2,1856,447,3572
P4_B2,2399,4342,6136
P5_B2,1580,2168,1275
P5_H11,106,0,153
P4_A2,2059,1270,4302
P5_A2,2536,655,2974
P4_H1,3571,2651,9093
P5_B12,105,0,309
P4_G1,1876,2010,2827
P5_G1,966,386,2300
P5_C12,0,575,550
P4_F1,553,2341,1688
P5_F1,335,272,2909
P4_E1,2248,796,5568
P5_E1,1201,662,2701
P4_D1,147,0,443
P5_D1,6694,2708,13652
P5_F12,138,0,0
P4_C1,1977,1090,3200
P5_C1,1139,884,2984
P4_B1,1409,242,3455
P5_B1,6762,2919,9532
P5_H12,185,513,170
P4_A1,1740,363,3268
P5_A1,3941,1564,9476
P8_A11,3960,2255,5414
P7_H2,584,221,497
P8_H2,157,0,0
P8_B11,3014,1162,6536
P7_G2,1324,871,1979
P8_G2,0,0,926
P8_C11,4112,650,5360
P7_F2,550,123,1024
P8_D11,1479,1571,4568
P7_E2,562,262,1221
P8_E2,634,948,2064
P8_E11,1809,538,5592
P7_D2,1340,238,2465
P8_D2,0,540,435
P8_F11,1176,541,2611
P7_C2,694,347,3597
P8_C2,419,0,357
P8_G11,5250,4370,12924
P7_B2,245,0,240
P8_B2,0,0,291
P8_H11,1505,919,4329
P7_A2,602,784,4624
P8_A2,197,403,669
P8_A12,2658,812,5654
P7_H1,1094,267,1239
P8_H1,268,0,120
P8_B12,2532,2071,9579
P7_G1,662,1515,444
P8_G1,199,0,186
P8_C12,3445,10334,11632
P7_F1,430,0,258
P8_D12,3528,319,3096
P7_E1,509,410,3349
P8_E1,565,0,756
P8_E12,1625,201,863
P7_D1,261,100,0
P8_F12,2156,1262,5900
P7_C1,638,714,1136
P8_C1,923,209,2865
P8_G12,2536,1675,3561
P7_B1,1089,468,1873
P8_H12,1761,2852,12573
P7_A1,981,158,1823
P8_A1,165,0,213
P11_A11,2061,2497,5508
P11_B11,1182,971,3678
P10_G2,157,0,331
P11_C11,3207,963,6389
P10_F2,0,0,895
P11_D11,1800,3435,6919
P10_E2,0,197,121
P11_E11,4205,2360,9583
P10_D2,494,0,261
P11_F11,4459,1408,4545
P11_G11,1564,1647,7015
P10_B2,190,0,225
P11_H11,2645,644,6283
P10_H1,3790,2085,4354
P11_H1,619,0,142
P11_B12,3816,2671,4556
P10_G1,366,0,166
P11_C12,4047,5037,8315
P10_F1,563,236,356
P11_D12,3860,2493,8554
P11_E12,1943,1182,6699
P10_D1,0,0,288
P11_D1,0,181,127
P11_F12,3992,1930,7634
P10_C1,0,0,208
P11_C1,0,0,733
P11_G12,4015,1787,8770
P10_B1,0,987,141
P10_A1,414,0,248
