BC,10,20,30
ref6,6817,3971,3183
ref7,4937,6002,4097
ref8,4157,4338,2430
ref9,6529,4666,4151
ref10,6507,5097,4316
P3_A5,2138,2239,2783
P3_B5,2429,2271,3457
P3_C5,1766,2210,2203
P3_F8,344,0,170
P3_D5,3178,4301,4145
P3_E5,2704,3200,4256
P3_F5,2590,3352,2476
P3_G5,1345,1033,1624
P3_B8,849,0,0
P3_H5,1976,1905,1983
P3_H7,3330,5350,8593
P3_G7,2190,1708,2622
P3_C6,288,0,0
P3_F7,1895,2176,3082
P3_E7,1820,1733,2555
P3_E6,1072,1135,1261
P3_D7,232,552,487
P3_C7,1375,1425,2417
P3_B7,3615,4817,5745
P3_A7,1776,2974,2234
P6_A5,2579,2019,2575
P6_B5,1066,2766,2367
P6_G8,0,0,141
P6_F8,2107,2780,2791
P6_D5,1005,905,1169
P6_E8,241,413,805
P6_E5,2415,2811,2467
P6_C8,2404,3921,4306
P6_G5,2236,1818,2929
P6_B8,115,559,0
P6_A8,3295,2319,2509
P6_A6,546,718,657
P6_H7,1962,610,891
P6_B6,119,299,376
P6_G7,1545,2367,2480
P6_C6,2024,2553,4037
P6_F7,144,130,247
P6_D6,802,560,1228
P6_E7,845,970,1032
P6_E6,793,1596,520
P6_D7,1060,1370,613
P6_F6,604,537,741
P6_C7,777,1914,2301
P6_G6,2294,4658,4692
P6_H6,4030,4110,6102
P9_A5,1236,1756,2112
P9_B5,1913,2202,2321
P9_C5,1112,1020,1185
P9_F8,1284,122,173
P9_D5,1836,1289,2308
P9_E5,2471,2469,2112
P9_C8,1634,1798,2235
P9_G5,2499,3035,2421
P9_H5,1828,679,1444
P9_A6,2660,1932,1849
P9_H7,1028,509,990
P9_B6,2176,2237,3364
P9_C6,3569,4094,4156
P9_F7,207,241,187
P9_D6,1526,1979,2263
P9_E7,295,460,582
P9_E6,1545,1313,2801
P9_F6,2410,2525,2898
P9_C7,117,0,0
P9_G6,3065,1090,2193
P9_H6,2515,2127,2847
P12_A5,1421,3847,3303
P12_B5,1865,1268,1606
P12_C5,1457,893,1450
P12_F8,530,888,1017
P12_D5,2263,1828,2779
P12_D8,290,625,443
P12_F5,2520,971,1818
P12_G5,2230,2593,2323
P12_H5,1023,964,1512
P12_A8,1474,1440,1582
P12_A6,0,119,190
P12_H7,2382,2096,2384
P12_B6,0,0,181
P12_G7,1686,2135,2562
P12_C6,1654,1108,1596
P12_F7,0,181,0
P12_D6,651,725,1263
P12_E7,1599,2205,1763
P12_D7,1559,2585,1990
P12_F6,1464,2608,3350
P12_B7,3319,3487,2292
P12_H6,1356,3254,3190
