BC,s_1,s_2,s_3,average,standard deviation
0,0.0,0.0,0.0,0.0,0.0
1,-0.01848398283557658,-0.019855788703248597,-0.02052541050864973,-0.0196217273491583,0.0008496843626532353
2,0.015732543626932452,-0.004133646327261586,0.028552425012949936,0.013383774104206934,0.013446991078986467
1500,0.08173794829674884,0.040338338533749074,0.07087075288168763,0.06431567990406185,0.017525384607071468
4,-0.011026037162377716,-0.03088117901309019,-0.017733556953143364,-0.01988025770953709,0.008246732992771726
5,0.019620701163536845,0.004392403036683814,0.04004293643624922,0.021352013545489962,0.014605665906108954
15000,0.19028030690083925,0.1524484487680659,0.20555280190062963,0.18276051918984493,0.022322312989784068
5000,0.10808885037180443,0.05844544527013107,0.12246067248945867,0.09633165604379806,0.027424575874391864
10000,0.06869165515168425,0.0005215817210750597,0.04394007890243608,0.037717771925065126,0.028175965596871643
1000,0.03808894240903479,0.02680663103284058,0.038211408621144125,0.034368994021006495,0.005347631872574591
10,-0.02182979289035043,-0.03459353128916235,-0.006315523065067869,-0.020912949081526883,0.011562637796161172
11,-0.009364223606889436,-0.04836986585974216,-0.009555032010495457,-0.022429707159042352,0.018342627529425195
500,-0.05418856481650029,-0.019003824465435484,-1.545314910712465,-0.539502433331467,0.7113618611414159
13,-0.044537447672506184,-0.03950471224403181,-0.016594466894043248,-0.03354554227019375,0.012161039532847159
14,-0.03178575419299392,-0.04611463318115606,-0.020079150203206303,-0.03265984585911876,0.010646896907999987
15,-0.023336425838475436,-0.045431918716979255,-0.02250988890748049,-0.030426077820978392,0.010616095847709854
16,-0.02565944315697658,-0.03611390444232314,-0.02094828674824406,-0.027573878115847928,0.0063376013296068965
17,-0.03160345571333092,-0.05317043551448059,-0.01915226299845568,-0.03464205140875573,0.014053085383234028
18,-0.02773560336808087,-0.04360647554276983,-0.0097040380280395,-0.0270153723129634,0.013849978747026181
50000,0.17530676520133132,0.11723275552495332,0.18332783038603181,0.15862245037077216,0.029449555754960662
40000,0.1385362549458053,0.09632646077140755,0.13794983676639083,0.12427085082786789,0.01976111793887155
21,-0.02060601183345345,-0.029257465121679715,0.0022199175493631445,-0.015881186468590006,0.013277785608580972
22,-0.031982100295540605,-0.038803587711589475,-0.013599083227450695,-0.028128257078193594,0.010644430225260584
2000,0.07829183477858268,0.045911776733715444,0.07760784002335264,0.06727048384521692,0.015105467869008522
24,-0.031218565690444122,-0.04949709518981066,-0.004010403607402843,-0.028242021495885877,0.01868876024575362
25,0.19062991135374865,0.16801290118220158,0.1596418831608702,0.17276156523227346,0.01308884590063849
30000,0.19822612063723494,0.15774051578521517,0.19509560730728231,0.18368741457657745,0.018391686456914018
27,0.026519670984568346,0.0036622925380210085,0.029817783196355366,0.019999915572981572,0.01163064431762747
28,-0.025994623930271257,-0.03036264604877235,-0.013083382753352172,-0.02314688424413193,0.007336004861781534
