BC,s_1,s_2,s_3,average,standard deviation
0,1.0,1.0,1.0,1.0,0.0
1,1.0071225984036576,1.006425426809645,1.005812329622613,1.0064534516119719,0.0005352819268411534
2,1.1105504870086016,1.1090000001935187,1.1143237599931937,1.1112914157317713,0.0022356708360537847
1500,1.2072067724935425,1.2141782354867943,1.2170767284353312,1.2128205788052226,0.004142175863156527
4,1.0047137795934402,1.0020877744054768,1.0044797469749174,1.0037604336579449,0.0011866014629417505
5,1.1096453742014536,1.107397221798037,1.1136822085174856,1.1102416015056589,0.002600240984296256
15000,1.2895322749003055,1.3025253651112276,1.2935869893449865,1.2952148764521734,0.005427867023217528
5000,1.1851281751667782,1.1953562420091635,1.1965573135382446,1.1923472435713955,0.005128148117816639
10000,1.2270642459948038,1.2338676674887155,1.2339874369395947,1.2316397834743713,0.0032357630321699256
1000,1.164017642618084,1.1625845108818116,1.1678820314324911,1.1648280616441289,0.002237336995112686
10,1.0210601460364692,1.0174338678128212,1.0166767689590726,1.018390260936121,0.001913028054400142
11,1.0229764572373363,1.016546079796718,1.0178277471142594,1.0191167613827712,0.0027789214749039406
500,1.0956088963257051,1.0973425596877369,1.0958281081556929,1.0962598547230449,0.0007708008765900674
13,1.0081746465270145,1.0051280054768756,1.0065281162349098,1.0066102560796002,0.0012451413942901133
14,1.0080128792141285,1.0079245015170086,1.0073841006401811,1.0077738271237728,0.0002779300911459271
15,1.0046399834272082,1.0004137925529544,0.9918188766662862,0.9989575508821495,0.005334521190421308
16,1.0108041636653806,1.01017518943157,1.0081907529413034,1.009723368679418,0.0011137280928595298
17,1.0108359905685131,1.0081134458572278,1.0109395139707331,1.0099629834654913,0.0013085032918026794
18,1.0172539958217972,1.014990185119361,1.0162109311209473,1.016151704020702,0.00092514525388135
50000,1.2734189466736061,1.2827774225379798,1.294667048003719,1.2836211390717682,0.008694992648098388
40000,1.2528929307212948,1.2539323153784792,1.2605454872145117,1.255790244438095,0.0033891326828942654
21,1.0045048831889856,1.0041279719384621,1.0042897484697233,1.0043075345323904,0.00015438648626456492
22,1.0021536262648836,1.0052821972855785,1.0031450514360172,1.0035269583288264,0.001305470238129926
2000,1.2219416105780552,1.2242725558362306,1.2290061801443457,1.2250734488528772,0.0029391731271821457
24,1.0173040417781356,1.0153655833989486,1.0133966673223067,1.0153554308331303,0.0015951950957924772
25,1.012590407833682,1.009872728904469,1.0117575201224036,1.011406885620185,0.0011368532905001699
30000,1.2184962476570784,1.2242261991187038,1.2332564851466619,1.2253263106408148,0.006075844890934209
27,1.108933632668823,1.1084813832548601,1.113709950096277,1.11037498867332,0.0023653904755263065
28,1.0037227297226847,1.0042175118278878,1.0065391994334194,1.0048264803279974,0.0012278049202990179
