BC,s_1,s_2,s_3,average,standard deviation
0,1.0,1.0,1.0,1.0,0.0
1,1.0054985614267704,1.0058221366981814,1.0065209855633441,1.0059472278960986,0.0004266721103372025
2,1.0538273372650138,1.0479258258042405,1.053281507736526,1.0516782236019269,0.002662686537140355
1500,1.173801623378391,1.1622124355333239,1.170185520262053,1.1687331930579228,0.00484143638864582
4,1.0047150812888455,1.005197098278439,1.0031046198585816,1.0043389331419554,0.00089469997045526
5,1.0583315465506695,1.053715525487693,1.0592851120503635,1.0571107280295753,0.002432128288263113
15000,1.2656469955830079,1.2675285145201005,1.2729153788527008,1.2686969629852696,0.003080184269445061
5000,1.144478807386658,1.134238530296614,1.1444862034384466,1.1410678470405728,0.004829057124490137
10000,1.205289361077823,1.195878668793994,1.200899597246738,1.2006892090395185,0.0038447782522561536
1000,1.1252584422129175,1.116350707046375,1.1216277155605563,1.1210789549399496,0.0036572111518078103
10,1.0098560357731319,1.014129168551853,1.0125011386982998,1.012162114341095,0.0017608935368592165
11,1.0109901538274164,1.0109129275782243,1.0132904892904222,1.0117311902320207,0.001103041594422538
500,1.0495115933942443,1.043306463420054,1.0479896655270071,1.0469359074471019,0.002640544649294045
13,1.0037979565206587,1.0038192121217775,1.0033165194685676,1.0036445627036679,0.00023212385087284187
14,1.005124814218398,1.0044374793451336,1.003142283354792,1.0042348589727745,0.0008219482618586476
15,1.001310215532503,1.0001618437909872,1.0009196056316532,1.0007972216517145,0.00047674087517036903
16,1.0086135763742183,1.0083607131970311,1.0076894088984403,1.0082212328232298,0.00038996791477273555
17,1.0054134155778107,1.0048165260452013,1.0051090376946301,1.0051129931058809,0.00024369518186084462
18,1.013565774601689,1.010784397898225,1.012778501236596,1.0123762245788368,0.0011705793362481493
50000,1.2570909415390918,1.2558311381171998,1.2633115113000841,1.2587445303187919,0.0032700420617138015
40000,1.2181989619754523,1.2099211357516186,1.2139674743359559,1.2140291906876755,0.003379690166178872
21,1.0042808589880068,1.002123573163606,1.0031323837146127,1.0031789386220753,0.0008813232670618152
22,1.002998193107382,1.0021990461354553,1.0027798974267628,1.0026590455565332,0.0003372564321979521
2000,1.1813747370056393,1.1710815349087453,1.178720910777892,1.1770590608974254,0.0043633940245929705
24,1.0059140493056344,1.005304083965858,1.009020543305615,1.0067462255257025,0.0016273507001568963
25,1.007931037231543,1.0082534330978414,1.0093548413301827,1.0085131038865223,0.0006095770209450706
30000,1.1955545541700043,1.1809558819043833,1.1903103533719683,1.1889402631487853,0.0060381105430147965
27,1.055111809655219,1.0495750882915833,1.0553391726233226,1.053342023523375,0.002665242235420153
28,1.0057589218604657,1.0040912348722493,1.0046962757867275,1.0048488108398141,0.0006893210086656205
