BC,s_1,s_2,s_3,average,standard deviation
0,0.0,0.0,0.0,0.0,0.0
1,0.012649446116614312,-0.017317303708071462,0.003936791123321114,-0.00024368882271201195,0.012585940123757543
2,0.1269556791727741,0.08911482381469427,0.0640586406707883,0.09337638121941888,0.02585382004933885
1500,0.13180767276460753,0.13300781470681897,0.06923701895692431,0.11135083547611692,0.029782995613039886
4,0.002598156345261843,-0.010281602497163643,-0.0053357661402746275,-0.004339737430725476,0.00530509829330516
5,0.1207753445402584,0.07719078485831884,0.06864877941423768,0.0888716362709383,0.022827270463958823
15000,0.05885952837029513,0.09372392975855438,0.020820620485099934,0.057801359537983155,0.02977205531717615
5000,0.08162533823943723,0.07425220268888669,0.06963955239415805,0.07517236444082731,0.004936246132404969
10000,0.06775734313037898,0.08196203407613878,0.013794944846087467,0.05450477401753508,0.02936450186412695
1000,0.15320824379155948,0.12386465947448916,0.054744345646060844,0.11060574963736981,0.041276577918987964
10,-0.018100423830258717,-0.030112744001087273,-0.0242027582719043,-0.024138642034416763,0.0049042187376826096
11,-0.037174637952458255,-0.014709701535828346,-0.00720972523008199,-0.01969802157278953,0.01273149640873028
500,0.14252819193264366,0.11176941388834111,0.07013781705811516,0.10814514095969997,0.029664154679957342
13,0.010467879609728606,-0.0077059092486222005,0.001436752067370689,0.001399574142825698,0.007419464806194316
14,-0.014953346154063617,-0.024193334208068948,0.0023161190497202697,-0.012276853770804098,0.010986673339853226
15,-0.012966918919081746,-0.011266859959875199,0.006981883591061067,-0.00575063176263196,0.009029959783602437
16,-0.000980561886030846,-0.021537417403435705,0.0025411808080528283,-0.006658932827137909,0.010618463334091912
17,-0.030198792234280267,-0.05111917417387457,-0.010294804669834337,-0.030537590359329722,0.01666820075228588
18,-0.007426352540015307,-0.019067377743003024,-0.005249756335841014,-0.01058116220628645,0.006066096128522518
50000,-1.3397948638539416,-10.65770335473196,-2.853650438709458,-4.95038288576512,4.082733551351446
40000,0.06894689233806534,0.1478055732931678,0.008417760896395121,0.07505674217587609,0.05706860351056975
21,-0.006484057813782884,-0.0024828830574180156,0.003570838628891314,-0.0017987007474365286,0.004133304948278416
22,-0.008803444009316527,-0.022369555952431883,-0.010807098874333475,-0.013993366278693962,0.0059790787078697364
2000,0.12408752017128369,0.12375790115336882,-0.013201511625888824,0.07821463656625456,0.06464111836331517
24,-0.02322109800175619,-0.012630379387853946,-0.005891478557601189,-0.01391431864907044,0.00713280227959431
25,-0.003915763644569314,-0.006714965387230767,-0.0025914875380179873,-0.00440740552327269,0.001718924314003451
30000,-1.6649279497058695,-10.65770335473196,-0.08349355637501091,-4.1353749536042805,4.656952473755056
27,0.14484130713284954,0.11437020705217477,0.0768323305631155,0.1120146149160466,0.027814466670535557
28,-0.013281949395888164,-0.01458002642468219,0.007488832141752738,-0.006791047892939204,0.010111296697162235
