BC,s_1,s_2,s_3,average,standard deviation
0,1.0,1.0,1.0,1.0,0.0
1,1.0033627244609562,1.0037821262083215,1.0029595862548486,1.0033681456413754,0.0003358224090822042
2,1.0329351094748684,1.0325923360156768,1.0257986604195914,1.030442035303379,0.003286342561229491
3,1.0056939766637674,1.003384575039711,1.0032815892796887,1.004120046994389,0.0011137302096420256
50000,1.360467428610888,1.3580581839279895,1.3393358484888067,1.3526204870092282,0.009445010338770264
5,1.0272850981750288,1.0271527628522283,1.0232965502105231,1.0259114704125933,0.0018498169110863672
30000,1.270142602027671,1.273543647659444,1.2722539636255497,1.2719800711042215,0.0014019131409803752
10000,1.2293359306002754,1.232995613997723,1.2310272035399346,1.2311195827126442,0.0014954867827458504
15000,1.2554056646496043,1.2510984714416467,1.2539999306593477,1.2535013555835328,0.001793397364842681
9,1.0047849172355172,1.0006872281655157,0.9996601260060655,1.0017107571356993,0.002213832265698326
20000,1.1994246319143145,1.2018980609710228,1.2019799299214702,1.2011008742689357,0.0011857534748931366
11,1.006773813857128,1.0100173956415042,1.0096510566589336,1.0088140887191885,0.0014504234317616557
12,1.0075841407948682,1.0076885480909616,1.0074360501528596,1.0075695796795632,0.00010359479313053129
13,1.0125208650854478,1.011652997977675,1.0101141081799507,1.0114293237476912,0.0009952025996109513
14,1.0077585702424865,1.0096178772247615,1.005357122406536,1.0075778566245945,0.0017441332066915878
15,1.0054999615102698,1.0077185854698882,1.0034677715119373,1.0055621061640319,0.0017359437960892167
2000,0.8203139584594926,0.8007067894280735,0.839243867823895,0.8200882052371538,0.01573350620405321
1500,1.0428265137727244,1.0467807900159043,1.0408653423571552,1.0434908820485946,0.0024602397112662377
18,1.0079420502928882,1.007432315869375,1.0097969340783726,1.0083904334135452,0.0010160841125774161
19,1.0080070524060545,1.005186294336438,1.006636057474154,1.006609801405549,0.001151719311198274
5000,1.085907858186053,1.0745874221679468,1.0800613386903988,1.0801855396814661,0.0046223830307642625
40000,1.300904049978217,1.2963301443100277,1.2909276007970412,1.2960539316950952,0.004077548660868982
1000,1.0598660932232402,1.0614848427305166,1.0620687417633299,1.0611398925723623,0.0009317217419014549
23,1.0047652053398344,1.0069759499739108,1.0037730362946797,1.0051713972028082,0.0013387576034794562
24,1.009460930634531,1.0102274632865844,1.011374906456859,1.0103544334593249,0.0007865184594944202
25,1.0087200357519617,1.0092186445725282,1.005807016414036,1.0079152322461755,0.0015045670883787339
26,1.015439503383579,1.014685224180107,1.0119857413679163,1.0140368229772008,0.0014826633929422015
500,1.028958718744657,1.016273085277246,1.027452106258147,1.0242279700933499,0.005658481222862945
28,1.0325547372022867,1.0328897662291627,1.0305876810895607,1.0320107281736701,0.0010154993401955909
29,1.0075581137196927,1.0071802306208382,1.00644615508178,1.0070614998074368,0.0004616533747631753
