BC,s_1,s_2,s_3,average,standard deviation
0,1.0,1.0,1.0,1.0,0.0
1,-0.007649772227580846,-0.0016398725934233384,1.0225358701670775,0.3377487417820244,0.48422383813328074
2,-0.010173585952908612,-0.002073231032848843,1.0037045919237695,0.3304859249793373,0.47604897092581167
3,-0.0074643743874287195,-0.001607422592569268,1.0313768568293078,0.34076835328310323,0.4883398098652398
50000,3.8454882876826293,4.365353265216275,1.8063158557192167,3.3390524695393737,1.1043930593241928
5,-0.010777876370125125,-0.0021752473696544337,0.9981919744163985,0.3284129502255397,0.47361831133024845
30000,-0.0021310617677339967,-0.0006173393048543828,1.0977199659606887,0.36499052162936674,0.51811832739989
10000,-0.0021098046939795,-0.0006128647739793722,1.2927460200325518,0.43000778352153096,0.6100483635258713
15000,3.6615874645168844,-0.000555907432280802,1.2848902391915504,1.6486405987587183,1.5170276337280375
9,-0.009566032180535495,-0.0019701382811022593,1.0177362696154026,0.335400033051255,0.48249454518327717
20000,3.651721996418391,-0.0006920807598559111,1.297611485697452,1.649547133785329,1.5117156198810966
11,-0.009487781450972163,-0.0019568135517989294,1.0175575978857252,0.3353710009609847,0.48238856650159345
12,-0.007946992923856864,-0.0016916984085052055,1.0349359553316375,0.34176575466642517,0.49015200193073205
13,-0.009071433008697682,-0.0018857118022826528,1.0299002500952044,0.33964770176140796,0.4880910734745371
14,-0.008971041625446605,-0.001868512689181343,1.04245840858073,0.343872951422034,0.4939830241310868
15,-0.008939255145738999,-0.0018630623444430177,1.016979830262565,0.335392504257461,0.48196367799121625
2000,-0.0016182516620978007,-0.0005020991556136765,-1.1739238593134078,-0.39201473671037307,0.5528934306334813
1500,-0.0033951588745562127,-0.000866987902640292,1.0411262570819866,0.34562137010159666,0.49179730497588775
18,-0.009689949819685371,-0.001991216047990357,1.0126619533754018,0.33366026250257536,0.4801369872453346
19,-0.008903246766826646,-0.0018568853326355068,1.0215324772830159,0.3369241150611846,0.4840997624597702
5000,-0.002450027471872693,-0.0006827680692244112,1.0919517446466727,0.3629396497018585,0.5154899007955566
40000,-0.0024698945824393626,-0.0006867592181058043,1.0698958611904492,0.35557973579663466,0.50509830075683
1000,-0.00235429444047013,-0.0006634171402091067,1.0227064420422476,0.33989624348718944,0.48282021512816375
23,-0.008236505083535864,-0.0017419532611363537,1.0368623500416942,0.342294630565674,0.49114070116035863
24,-0.008979520285295037,-0.0018699661208163038,1.0420832879530684,0.34374460051565237,0.493808551444089
25,-0.00978549310813524,-0.002007448743310952,1.0049726562223034,0.33105990479028574,0.47653885598870777
26,-0.007861434186449943,-0.001676804201555696,1.0387778734965063,0.3430798783695002,0.4919392494538422
500,-0.0034465595069197745,-0.0008767869300026466,1.0039545282973221,0.3332103939534666,0.47428888612341913
28,-0.007707995238066441,-0.0016500437542605433,1.0491826949340033,0.34660821864722546,0.49680133235279955
29,-0.009213158559821952,-0.002191923397526517,1.0316698447016246,0.340088254248092,0.4890304330178776
