BC,s_1,s_2,s_3,average,standard deviation
0,1.0,1.0,1.0,1.0,0.0
1,1.0030912151965057,1.0042845514031824,1.0037656135199948,1.0037137933732276,0.0004885535257264557
2,1.0916608493322073,1.0839576566805653,1.0688708437944443,1.081496449935739,0.009465348807920432
3,1.0019372561037212,1.0055074747128847,1.0048446585482698,1.0040964631216251,0.0015505832293351675
50000,1.3429388688091703,1.355062527979455,1.2146219726013214,1.304207789796649,0.06353980253791207
5,1.0838204654410482,1.0752971385279164,1.0632420172661554,1.0741198737450401,0.008442258647164568
30000,1.1096108410343544,1.0839368945656023,1.0283962587459547,1.073981331448637,0.033894808076377674
10000,1.062164712602304,1.030094545392212,1.0003312007415572,1.0308634862453576,0.0252492805149639
15000,1.1316543650412898,1.114171996298335,1.0849911524171398,1.1102725045855883,0.01924869484432633
9,1.0037955074323892,1.0037718493786194,1.0032856831254764,1.0036176799788283,0.00023495582400916525
20000,1.1414307836521829,1.1333643051631093,1.1064477318676487,1.127080940227647,0.014956915551543342
11,1.0058080191592846,1.0044099567560534,1.0052074804696618,1.0051418187949999,0.0005726419547278158
12,1.0044434117194694,1.0034841643563863,1.0040563410799699,1.0039946390519419,0.00039403403498727455
13,1.0048325702732777,1.0034154404977784,1.0045463474171608,1.004264786062739,0.0006118397379377017
14,1.0041922892407311,1.0032552389381284,1.0041073301070664,1.003851619428642,0.0004231286492287176
15,1.0048199622504612,1.005163992593901,1.00599006979084,1.0053246748784008,0.000491020713362687
2000,-0.024046461225758684,-0.04035620399257855,-0.034537512562115,-0.03298005926015075,0.0067488849879471565
1500,1.015677954984794,1.0124386098629874,1.0098597741845179,1.0126587796774331,0.0023803589388396037
18,1.0050935771124054,1.0031096770014933,1.0024055509925711,1.0035362683688234,0.0011380850147618493
19,1.0064064484293318,1.0045466586559426,1.0074105264125697,1.006121211165948,0.0011864386075363031
5000,1.1210618208175671,1.1077664100812665,1.0844010404308437,1.1044097571098923,0.015153735381495134
40000,1.1077119962370632,1.1527528464539236,1.1625000373826713,1.140988293357886,0.023864002113438938
1000,1.1010764912949447,1.0951615949072218,1.0775673472663447,1.091268477822837,0.009984562541373893
23,1.0021688891276619,1.001429352285172,1.0018923081907818,1.0018301832012053,0.0003050937791317892
24,1.0055209319963052,1.0044348195293658,1.0048605659357703,1.004938772487147,0.00044683872647672683
25,1.0047550123017177,1.0026194495293785,1.0014429285576432,1.0029391301295798,0.0013709173197898057
26,1.0065573898305007,1.0069243309740414,1.0087104510234164,1.0073973906093194,0.0009404811495565992
500,1.0376219259002841,1.0394790005920902,1.0447112463551758,1.04060405761585,0.003001547501769682
28,1.0931037626536833,1.0882579256304692,1.0721012987648635,1.084487662349672,0.008979125282386565
29,1.0021764562225677,1.0033687490752883,1.0024685492761671,1.0026712515246743,0.0005074161427103481
