BC,s_1,s_2,s_3,average,standard deviation
0,0.0,0.0,0.0,0.0,0.0
1,-0.013475219383300176,-0.016046880668365238,-0.006595801854125699,-0.012039300635263706,0.003989746832107173
2,0.07640435299072261,0.08397901997107941,0.07654144835793084,0.07897494043991095,0.0035388611869377655
3,-0.0042023924896620254,-0.00800691434383514,-0.006473961900913071,-0.006227756244803412,0.0015629159827163879
50000,0.026977653684217433,0.01664550929878697,-0.005149542940550122,0.012824540014151427,0.013391266941486284
5,0.0714424060840277,0.08522468461449095,0.07326840426885085,0.07664516498912316,0.0061122655425680785
30000,-0.08962049941912996,-0.07864673037072875,-0.10408083791537891,-0.0907826892350792,0.010415900361928378
10000,-0.13368314753057575,-0.15742986062640568,-0.13295210698585214,-0.14135503838094451,0.01137053319584991
15000,-0.10586368094867092,-0.12094702361558521,-0.11073878023891094,-0.11251649493438902,0.00628474389060675
9,0.00292624438755841,0.005943186363900672,0.003920551988026249,0.004263327579828444,0.0012552837798430274
20000,-0.10743297339669432,-0.11892866679697447,-0.13072027104021075,-0.11902730374462651,0.009507255293371587
11,0.004480918978118514,0.009529412799639762,-0.0012640976958991795,0.004248744693953032,0.004409489454800721
12,-0.01202856755187968,-0.011152139564885572,-0.009984813204729204,-0.011055173440498153,0.0008371717385869934
13,-0.0020245365390420714,-0.0029298357120006147,-0.0012512465306469308,-0.002068539593896539,0.000685987177512234
14,-0.0037050527858567333,-0.0014650469531498319,-0.0034578000826546744,-0.0028759666072204135,0.0010027642386563813
15,0.006207108252741628,0.005857349239369867,0.0006284017868064235,0.004230953092972639,0.002551387175247827
2000,-3.7414319947627095,-3.5739233110681012,-3.795555801173423,-3.7036370356680783,0.09434540924106143
1500,0.048978508736893904,0.04845729111692052,0.03198093850555513,0.04313891278645652,0.007892748126889868
18,-0.0007629116960230738,0.0049988301073778515,-0.006804345420970168,-0.0008561423365384636,0.004819077166325282
19,0.010119713151266224,0.007830901104189643,0.0009355566872309128,0.006295390314228926,0.0039034623544177403
5000,0.08914758121230475,0.09613278720581853,0.0982606550968377,0.094513674504987,0.003892571845599826
40000,-0.05295175582619376,-0.0677761965168952,-0.07561465348132153,-0.0654475352748035,0.009397472352252101
1000,0.08169057748428885,0.08541646221669814,0.09150975094154368,0.08620559688084356,0.004047311204946758
23,-0.009946669209936431,-0.006411282881992294,-0.008153535060252064,-0.008170495717393596,0.0014433652505797198
24,-0.004727136673882973,-0.0015892341694677176,-0.008487759036387762,-0.004934709959912817,0.0028201331335811638
25,0.00358416239305525,0.0077395492664064,-0.00022062416803545685,0.0037010291638087307,0.003250777718042071
26,-0.0008126379775408681,-0.010164750176382926,-0.006594008484292217,-0.005857132212738671,0.003853374332937873
500,-0.03402761427651278,-0.0605063140970388,-0.05185529533568005,-0.04879640790307721,0.011024154700486346
28,0.06402743083858489,0.07600260614426613,0.08209636180893737,0.07404213293059612,0.007505738161299388
29,-0.0036317321584879345,-0.003707572683702475,0.001440231124024575,-0.001966357906055278,0.0024090211789869484
