BC,s_1,s_2,s_3,average,standard deviation
0,1.0,1.0,1.0,1.0,0.0
1,1.0009892583907176,1.0049555628864597,1.0031024235078327,1.00301574826167,0.0016203965125772982
40000,1.5638072631673758,1.1806014056348846,1.5110275707858003,1.4184787465293536,0.16957917711252363
3,1.0008027652941816,1.001103601528946,1.0125255697535986,1.0048106455255754,0.005456657554042989
4,1.0035863723699863,1.0055642189475522,1.0050560469160448,1.004735546077861,0.0008386536279675363
5,1.0014474692227624,1.0005979462637455,1.0118468896072086,1.0046307683645723,0.005114341056010738
2000,1.005228711284825,1.0132721157547655,1.0139433885246163,1.0108147385214024,0.003959413003524874
50000,1.286434195514549,1.3066478985678782,1.2841008876623081,1.292394327248245,0.010123711536330023
8,1.0036902925403788,1.011336241068567,1.0056138278116769,1.006880120473541,0.003247332757104252
15000,1.0383764314462254,1.0284228011695677,1.0245017364181075,1.0304336563446335,0.00584005961340216
30000,1.1883764213860448,1.1680886565516635,1.195501133684666,1.183988737207458,0.011613205270441365
10000,1.2035646601736443,1.1987127607442982,1.203831340700241,1.2020362538727278,0.0023525850401711463
12,1.0041931699637225,1.017762100609769,1.0120328151155866,1.0113293618963595,0.005561780562795555
13,0.9993783909223135,1.0058385146024726,1.0069369616199073,1.0040512890482312,0.003334529365485857
14,0.9979546328699286,1.0018070394662169,1.005694008943138,1.0018185604264278,0.003159597553490541
15,0.9999093635739044,1.005676239570335,1.007624923955645,1.0044035090332948,0.003275907026153946
5000,1.2315295098665926,1.2454575621208352,1.2415604103120736,1.2395158274331672,0.005867020780644216
1000,1.0798469230621315,1.0999629582569896,1.0899574797207934,1.0899224536799716,0.008212374326094526
18,1.0019250104219217,1.0187385386357724,1.0061278295185805,1.008930459525425,0.0071444493123886555
19,1.0007524013377462,1.0125213620725328,1.007160911741816,1.0068115583840316,0.004811004401070785
20,1.0058373542285584,1.0184312067404537,1.0111443664855697,1.0118043091515272,0.005162552567261454
500,1.0545384932638695,1.1020758209316637,1.0207021835577443,1.0591054992510924,0.03337724147410456
22,0.9950674313896571,1.0006270262182253,1.002567791333768,0.9994207496472169,0.003178592686198178
23,1.002888809361462,1.0070178198268387,1.0099415191697858,1.0066160494526954,0.0028932384952115274
1500,1.0377042171017115,1.0516401573742256,1.028653262762463,1.0393325457461333,0.00945473149993356
25,1.0029734229601786,1.0163923993954236,1.0094672171493735,1.0096110131683251,0.005479217712637158
26,1.0083362157765672,1.0096512759109062,1.0142632541903418,1.0107502486259385,0.0025414237297072834
27,1.003452043105199,1.0026457684114731,1.0099846043330327,1.005360805283235,0.003286047063988262
28,1.0042577826933476,1.0081015046149253,1.0072903098709225,1.0065498657263985,0.0016542355134571184
