BC,s_1,s_2,s_3,average,standard deviation
0,0.0,0.0,0.0,0.0,0.0
1,-8.473851711380505,-0.004284028263999492,0.1105960997206566,-2.789179879974616,4.019943592807916
40000,20.726441176657335,0.4775495708377644,2.65174348838648,7.951911411960526,9.076461786019925
3,-8.473851711380505,-0.03493037718298421,0.1105960997206566,-2.7993953296142777,4.0128864017724695
4,-8.473851711380505,-0.005961381658674103,0.1105960997206566,-2.7897389977728406,4.019556311946514
5,-8.473851711380505,-0.03781523765913911,0.1105960997206566,-2.8003569497729957,4.012224120423036
2000,20.903438163891693,0.2506712667742923,1.367770382061796,7.507293270909261,9.483476897695223
50000,20.599701237724574,0.3797193685848217,2.5427347439524772,7.840718450087291,9.065075480838079
8,-8.473851711380505,-0.009441931744570706,0.1105960997206566,-2.7908991811348063,4.018753071788893
15000,20.683418333610508,0.4830090626100644,2.6159619607622195,7.927463118994265,9.061757264990252
30000,20.649916566802865,0.45312132260875765,2.6114354884542306,7.904824459288618,9.055113090822914
10000,20.554081988355552,0.30774446611049044,2.475450712636227,7.779092389034091,9.076526760087816
12,-8.473851711380505,-0.0070641061145959,0.1105960997206566,-2.7901065725914815,4.019301770460486
13,-8.473851711380505,-0.0030011238437130214,0.1105960997206566,-2.788752245167854,4.020239879895138
14,-8.473851711380505,-0.0055607712697157185,0.1105960997206566,-2.7896054609765213,4.019648797353104
15,-8.473851711380505,-0.0069741459571226955,0.1105960997206566,-2.790076585872324,4.01932253401626
5000,20.22694102404359,-0.055798123206224244,0.9907725177119667,7.053971806183111,9.324489835468489
1000,20.826566525177213,0.1308738086578583,1.2328659507894886,7.39676876154152,9.506951759964764
18,-8.473851711380505,-0.006448111141341403,0.1105960997206566,-2.7899012409337303,4.019443954055765
19,-8.473851711380505,-0.0070641061145959,0.1105960997206566,-2.7901065725914815,4.019301770460486
20,-8.473851711380505,-0.0068797246765528635,0.1105960997206566,-2.790045112112134,4.019344327602407
500,-8.473851711380505,-0.004773361090481313,0.1105960997206566,-2.789342990916777,4.019830599489908
22,-8.473851711380505,-0.0010879637210765892,0.1105960997206566,-2.788114525126975,4.020681853107867
23,-8.473851711380505,-0.0065840058605162455,0.1105960997206566,-2.789946539173455,4.019412585545932
1500,20.447505180340755,0.19956829201100829,2.3888661628372616,7.678646545063008,9.073076267271258
25,-8.473851711380505,-0.0075942523434502735,0.1105960997206566,-2.7902832880010995,4.019179415192182
26,-8.473851711380505,-0.008326287621331755,0.1105960997206566,-2.7905272997603934,4.019010484297563
27,-8.473851711380505,-0.017473121568381496,0.1105960997206566,-2.79357624440941,4.016901580975538
28,-8.328601438572731,-0.4293898482619387,0.13079644015164663,-2.875731615561008,3.8625375208072366
