BC,s_1,s_2,s_3,average,standard deviation
0,0.0,0.0,0.0,0.0,0.0
1,0.003354747039901485,0.022433769070934015,0.006357017743197063,0.010715177951344189,0.008376452738284223
40000,0.6069815739754457,0.16050275336430278,0.6053638788450104,0.45761606872825294,0.21009187809036048
3,0.5086966874015653,0.05791329686078283,0.48239411940793964,0.3496680345567626,0.20658101961345543
4,-0.005858870707475377,-0.008027040890571165,0.0015823641488103052,-0.0041011824830787455,0.0041151968137104885
5,0.5092375240469719,0.06216534850538576,0.48585791367713765,0.35242026207649846,0.20546303428174437
2000,0.5815381510416638,0.15704176123827635,0.5962246074276626,0.4449348399025343,0.20365942413317206
50000,0.7063474680523609,0.26296721237005144,0.6826854561904636,0.550666712204292,0.2036634877356801
8,-0.03257225779674583,-0.007193143591855793,0.4531464015091352,0.13779366670684454,0.22322863521498776
15000,0.6112669645322821,0.1433439499602372,0.5675187536782302,0.44070988939024985,0.2110266222352891
30000,0.6237452536841699,0.16679465537282306,0.6044692245064481,0.46500304452114705,0.21101196465926406
10000,0.6639957705757968,0.23761840398570303,0.6759910321372327,0.5258684022329109,0.20388234792336862
12,-0.03486800619426642,0.008346800476876675,0.4521864653592579,0.1418884198806227,0.22012199291877815
13,-0.005858870707475377,0.004449420668391263,-0.004936633465529029,-0.002115361168204381,0.004657245309134307
14,-0.026164457279223265,-0.007716528980266477,0.4689029405072029,0.14500731808257103,0.22915258698664903
15,-0.03610183642248293,-0.01094432675811843,-0.027379127531393477,-0.02480843023733161,0.010430130601976213
5000,0.6681104314163117,0.214130388765673,0.6256258433051896,0.5026222211623914,0.2047305352187848
1000,0.5551464995869115,0.11468427304485343,0.5594010974661454,0.40974395669930347,0.20864593308517757
18,0.44568924204614435,0.0049512278660957055,0.4415027755196658,0.2973810818106353,0.20678619591905856
19,-0.028424857503812215,-0.027233521663432944,0.44349610958924945,0.12927924347400144,0.22218540911250514
20,-0.037713126581070934,0.014715637043646302,0.45783268124933585,0.1449450639039704,0.22227788858371103
500,0.1042422769678999,-0.48132337840320427,0.13628539170076612,-0.08026523657817942,0.2838924856861041
22,0.000908136147819334,0.014572061487305022,-0.01928272074255795,-0.0012675077024778645,0.013906512612929798
23,-0.020862480385090434,0.014106922778176368,0.4390908523305221,0.14411176490786934,0.2090697033717456
1500,0.5757459055955424,0.13557364172025618,0.5649506108712494,0.42542338606234936,0.20500209806800948
25,0.46599771366174975,-0.018351056586483387,0.43902666397197593,0.2955577736824141,0.22223999740660647
26,-0.016556161747196527,0.017389149586853395,-0.022154397637306433,-0.007107136599216521,0.017471616772214843
27,0.520883319479778,0.06869705930155044,0.4818080075354417,0.35712946210559005,0.204575427395978
28,0.4745868366906057,-0.004319383053241023,0.4503953211437278,0.3068875915936975,0.220278071472989
