BC,s_1,s_2,s_3,average,standard deviation
0,1.0,1.0,1.0,1.0,0.0
1,0.9874419771596087,1.0025717667117902,1.006477078632475,0.998830274167958,0.008209053817269633
10000,1.0031237325955575,0.9604987744853763,1.0304005542830181,0.9980076871213174,0.02876566408863607
3,1.056614956329018,1.0630309988775453,1.0754902287889103,1.0650453946651577,0.007836339298450375
4,1.0393116447431467,1.0109802405104729,1.0060172872290138,1.0187697241608777,0.014665960639627829
15000,1.0304877454185757,1.0884045943446963,1.1061968855633582,1.0750297417755432,0.03232268023437527
20000,1.2839848791678101,1.213507014105854,1.1996484498115016,1.232380114361722,0.036926086209200265
7,1.048683978603336,1.0563588960196,1.0691116012838349,1.0580514919689235,0.008424986760818815
2000,1.210651163128523,1.1615660442289346,1.1533097022385443,1.1751756365320005,0.025310426524010426
1000,1.0901673437849828,1.1235289868294092,1.1253951664647917,1.1130304990263946,0.016184633809111417
10,1.0404379059865654,1.0105114022989223,1.015136144508258,1.022028484264582,0.013153634889998532
11,1.035594055490512,1.0078667256080986,1.0110796170345975,1.0181801327110696,0.012383165932181533
50000,1.3515053345604136,1.2772425125931561,1.2648276468347657,1.2978584979961119,0.03827113383885556
13,1.0081191101415865,1.0072682195678793,1.0062553944552928,1.0072142413882528,0.0007618154950472655
14,1.0421062067603117,1.008688161410207,1.0086562256168796,1.0198168645957995,0.015760950385234868
15,1.0322336162795496,1.0047428467637114,1.0072034524044966,1.0147266384825857,0.012419993255967073
30000,1.3265123805565526,1.25383203648717,1.2362772006271399,1.2722072058902876,0.03906261693032802
17,1.0417381542899622,1.0130340140182506,1.0134857459581625,1.0227526380887917,0.013426053887996102
18,1.0142445395180213,1.0028727539905322,1.0066665977790943,1.0079279637625491,0.004727413643065695
19,1.035011417843607,1.0056786076684752,1.010245852286228,1.01697862593277,0.012886714578051725
500,1.107909537723137,1.0700586351641352,1.0662200147284655,1.0813960625385792,0.01881324048790999
5000,1.222525345332698,1.2016188860850658,1.1968666931594532,1.2070036415257392,0.011145650906782316
22,1.0081556323222962,1.0053329748407585,1.0050591195980263,1.006182575587027,0.0013996341983857578
23,1.0174876369556938,1.0051294095115695,1.0094843075158724,1.0107004513277118,0.00511798793267324
24,0.9991450408243265,1.0042504158578802,1.0077353126464585,1.0037102564428884,0.003527701956395221
25,1.0385995892631792,1.007788166276365,1.0087633952837416,1.0183837169410952,0.014300323730864888
26,1.0554530936378808,1.0614089429986044,1.0695543309087352,1.0621387891817402,0.005779892140314955
40000,1.3352760272148405,1.2525085098305677,1.2434977425182578,1.2770940931878887,0.04130497602974391
28,1.0111225746630517,1.0084002936229295,1.0107487375139828,1.0100905352666547,0.0012048862087746456
