BC,s_1,s_2,s_3,average,standard deviation
0,0.0,0.0,0.0,0.0,0.0
1,-10.284631294658292,-10.440945661688154,-13.540127341318314,-11.421901432554918,1.499170725379505
10000,-10.284631294658292,34.09449325429601,-13.540127341318314,3.423244872773136,21.728532265023592
3,27.969723051989984,34.12116630728245,44.50491681695755,35.53193539207666,6.823775116908717
4,-10.284631294658292,-10.440945661688154,-13.540127341318314,-11.421901432554918,1.499170725379505
15000,-10.284631294658292,-10.440945661688154,-13.540127341318314,-11.421901432554918,1.499170725379505
20000,-10.284631294658292,-10.440945661688154,-13.540127341318314,-11.421901432554918,1.499170725379505
7,27.98059804157788,-10.440945661688154,44.652277314699205,20.730643231529644,23.068552736605017
2000,-10.284631294658292,-10.440945661688154,-13.540127341318314,-11.421901432554918,1.499170725379505
1000,27.984891017037583,34.13200801917773,44.69965410935203,35.605517715189116,6.902861697693645
10,-10.284631294658292,-10.440945661688154,-13.540127341318314,-11.421901432554918,1.499170725379505
11,-10.284631294658292,-10.440945661688154,-13.540127341318314,-11.421901432554918,1.499170725379505
50000,27.976937984564586,34.074171772194845,44.73662782159218,35.5959125261172,6.926209740300614
13,-10.284631294658292,-10.440945661688154,-13.540127341318314,-11.421901432554918,1.499170725379505
14,-10.284631294658292,-10.440945661688154,-13.540127341318314,-11.421901432554918,1.499170725379505
15,-10.284631294658292,-10.440945661688154,-13.540127341318314,-11.421901432554918,1.499170725379505
30000,28.328672390686908,34.66464448773441,44.801715589993584,35.93167748947163,6.784507721378878
17,-10.284631294658292,-10.440945661688154,-13.540127341318314,-11.421901432554918,1.499170725379505
18,-10.284631294658292,-10.440945661688154,-13.540127341318314,-11.421901432554918,1.499170725379505
19,-10.284631294658292,-10.440945661688154,-13.540127341318314,-11.421901432554918,1.499170725379505
500,-10.284631294658292,-10.440945661688154,-13.540127341318314,-11.421901432554918,1.499170725379505
5000,28.239944971796767,34.61750894712275,44.68304062849026,35.84683151580326,6.7689129692141625
22,-10.284631294658292,-10.440945661688154,-13.540127341318314,-11.421901432554918,1.499170725379505
23,-10.284631294658292,-10.440945661688154,-13.540127341318314,-11.421901432554918,1.499170725379505
24,-10.284631294658292,-10.440945661688154,-13.540127341318314,-11.421901432554918,1.499170725379505
25,-10.284631294658292,-10.440945661688154,-13.540127341318314,-11.421901432554918,1.499170725379505
26,27.978965691745735,-10.440945661688154,-13.540127341318314,1.3326308962464222,18.884236817978056
40000,28.139141260385866,34.071361949998504,44.88155728648276,35.697353498955714,6.931089860701885
28,-10.040496768452403,-10.162585571854805,-13.206889691783125,-11.136657344030112,1.4647236142565772
