BC,s_1,s_2,s_3,average,standard deviation
0,1.0,1.0,1.0,1.0,0.0
1,1.0120055903306064,1.0097991750274473,1.0095508241923405,1.0104518631834647,0.0011033194068048506
10000,0.9933504104474371,1.0656693639036063,0.9834854093963707,1.0141683945824713,0.036638703963584256
3,1.043099248841886,1.057648443235561,1.0435858035325167,1.0481111652033213,0.006746798651455699
4,1.0098338923273613,1.0102826018073496,1.008378769026397,1.0094984210537026,0.0008126297008457916
15000,1.039046995861854,1.0669226451982987,1.0620057184070535,1.0559917864890687,0.012148758216863823
20000,1.2506267603966172,1.260689238445062,1.2429780803745962,1.2514313597387585,0.0072528989664036
7,1.0373214434830578,1.0493188045870425,1.040739973511198,1.0424600738604328,0.005046664064734894
2000,1.1792688582131443,1.1953229188619974,1.172673393736485,1.1824217236038754,0.009511595282666199
1000,1.0961154894272649,1.1060355111108462,1.0956202752568005,1.0992570919316371,0.004797328019877904
10,1.0142459427550543,1.0141280597597395,1.013432685381174,1.0139355626319893,0.00035882980848565854
11,1.0138188037650249,1.008565682998404,1.0109252177734491,1.011103234845626,0.00214826860605864
50000,1.3189837288266486,1.337665477088136,1.3060790602484544,1.320909422054413,0.01296679484936101
13,1.0119261774431738,1.007841839689924,1.0116968342749613,1.0104882838026863,0.0018736594147429416
14,1.0158025125507009,1.0113298982467458,1.0137459147078187,1.0136261085017553,0.001827901314485073
15,1.0116994490521947,1.00986752065945,1.0085191060051655,1.0100286919056034,0.0013033617052674953
30000,1.277396388408639,1.2936110005041594,1.2730874367371292,1.2813649418833093,0.008836146593616733
17,1.026711663842891,1.0210717971915135,1.015922734082368,1.0212353983722575,0.004406081051919837
18,1.0107256902148838,1.009964245454163,1.0098539758933285,1.0101813038541252,0.00038756266275852437
19,1.0130973642912549,1.0119803335269086,1.0085937583345808,1.0112238187175815,0.0019148285642664636
500,1.0908585473837829,1.076392622267186,1.0910778611553602,1.086109676935443,0.0068715785766213545
5000,1.1998464866120635,1.2164139461194012,1.195674068861365,1.20397816719761,0.008956886196863223
22,1.010608692159297,1.0084484568835748,1.0057501634007626,1.008269104147878,0.0019875363270856487
23,1.0145784395141664,1.0145474388518465,1.0123979364883202,1.013841271618111,0.0010206705256618552
24,1.0077268361286174,1.0054788597070157,1.0043669723228734,1.0058575560528353,0.0013975524772591992
25,1.0140182940682083,1.0154885002550205,1.0125697874203443,1.0140255272478578,0.0011915705020382984
26,1.0401474604208358,1.0454551771907143,1.0333429580684996,1.0396485318933497,0.004957362220159051
40000,1.286225499033246,1.3127371947952058,1.2702404179572793,1.2897343705952438,0.017525755240637115
28,1.013565929828988,1.0117298918524449,1.0105734340113965,1.0119564185642764,0.0012321373213392622
