BC,s_1,s_2,average,standard deviation
ref10,1.0,1.0,1.0,0.0
P3_A11,1.0524731339321105,1.116153420720124,1.0843132773261173,0.03184014339400676
P1_A11,0.9912792680337204,0.9904514937834822,0.9908653809086012,0.00041388712511908343
P3_B11,0.996388034250399,0.9944330115908202,0.9954105229206096,0.0009775113297894045
P1_B11,0.9770076452035502,0.9778882612428926,0.9774479532232214,0.00044030801967120947
P3_C11,0.9504245013460753,0.9497498259783427,0.950087163662209,0.00033733768386629004
P1_C11,0.9864676231459989,0.9850025755786723,0.9857350993623356,0.0007325237836632859
P1_D11,0.9728444858146155,0.9722341169395918,0.9725393013771036,0.00030518443751181845
P3_E11,0.9676813306180313,0.9675666807110489,0.9676240056645401,5.732495349120015e-05
P1_E11,0.9667992466004485,0.9679013666152778,0.9673503066078631,0.0005510600074146721
P1_F11,0.9962808972754436,0.9944263662618295,0.9953536317686364,0.0009272655068070512
P3_G11,0.9877363781152931,0.9883679060604587,0.9880521420878758,0.000315763972582761
P1_G11,0.9946194497080775,0.9940783947467663,0.9943489222274219,0.0002705274806555913
P3_H11,0.43826112039880116,0.528295221836376,0.4832781711175886,0.04501705071878742
P1_H11,0.9920984126663442,0.9916979566160941,0.9918981846412191,0.0002002280251250932
P3_A12,0.9950608065840911,0.9955152000680698,0.9952880033260805,0.00022719674198934392
P1_A12,0.9389514648185101,0.9400883452241685,0.9395199050213393,0.0005684402028292013
P3_B12,0.9796166556014287,0.9787588427971486,0.9791877491992886,0.00042890640214005016
P3_C12,0.970425669923419,0.9709975572193347,0.9707116135713769,0.00028594364795780924
P1_C12,0.9564734331951746,0.9570291662981596,0.9567512997466672,0.0002778665514924783
P3_D12,0.9921897328827768,0.9927342549301851,0.9924619939064809,0.0002722610237041456
P1_D12,1.0002542891759807,0.9995827713932337,0.9999185302846072,0.00033575889137349435
P1_E12,0.9818403674660828,0.9795978115347346,0.9807190895004088,0.0011212779656741279
P1_F12,1.0084435150561983,1.0066755911029668,1.0075595530795827,0.0008839619766157769
P1_G12,1.006252140701008,1.0034123588473491,1.0048322497741786,0.0014198909268294813
P3_H12,0.9741489467358649,0.9740091284721222,0.9740790376039936,6.990913187138181e-05
P1_H12,0.9790585291208154,0.9789551330177433,0.9790068310692793,5.169805153604212e-05
P4_A11,0.9527135838145566,0.9511601592280803,0.9519368715213185,0.0007767122932381687
P4_B11,0.9748770584662779,0.9761135145670854,0.9754952865166817,0.0006182280504037352
P6_C11,0.9824757615701709,0.981134531207199,0.981805146388685,0.0006706151814859784
P6_D11,0.990318365379725,0.9885403173042002,0.9894293413419626,0.0008890240377623648
P4_D11,0.98030783430162,0.9784888421573711,0.9793983382294955,0.0009094960721244827
P6_E11,1.0037931183022155,1.0011424364825583,1.002467777392387,0.0013253409098286095
P4_E11,1.285343448871197,1.2253344072546042,1.2553389280629006,0.03000452080829641
P6_F11,0.9813300426307494,0.9810687334535285,0.981199388042139,0.000130654588610446
P4_F11,1.0085196450445113,1.0090574352388884,1.0087885401416998,0.0002688950971885262
P6_G11,0.9883717575432482,0.9845644577443937,0.986468107643821,0.0019036498994272621
P4_G11,0.9835002979958481,0.9839891939183798,0.983744745957114,0.0002444479612658257
P6_H11,0.9687291263530238,0.9688431376268651,0.9687861319899445,5.7005636920681724e-05
P6_A12,0.9609925977801264,0.958399372125165,0.9596959849526456,0.0012966128274806699
P4_A12,0.9584121346424256,1.0109545998141234,0.9846833672282744,0.026271232585848903
P4_B12,1.0159774295968,0.9857629692478979,1.000870199422349,0.015107230174451092
P6_C12,0.98755332659532,0.9764985613160365,0.9820259439556782,0.0055273826396417544
P4_C12,0.976510082103752,1.0012228313137856,0.9888664567087688,0.012356374605016818
P6_D12,1.0010898421608978,0.9868542851457789,0.9939720636533383,0.007117778507559458
P4_D12,0.9879785789560261,1.3291408125378092,1.1585596957469178,0.17058111679089155
P4_E12,1.1148020820894458,0.9597601088420635,1.0372810954657545,0.07752098662369111
P6_F12,0.9620101762574407,0.9883998938660502,0.9752050350617454,0.013194858804304765
P4_F12,0.992303006967719,0.9834543186176685,0.9878786627926938,0.004424344175025241
P4_G12,0.9852883434707317,0.9757813697885526,0.9805348566296421,0.00475348684108956
P6_H12,0.9772839710526403,0.985799936458529,0.9815419537555847,0.004257982702944363
P4_H12,0.9868620303005613,0.9519170679509613,0.9693895491257614,0.017472481174799992
P7_A11,0.9518889343916286,1.0170690257441957,0.9844789800679121,0.03259004567628354
P9_B11,1.0177899640652475,0.9750841016244342,0.9964370328448409,0.021352931220406657
P7_B11,0.9766745658194123,0.9021036566782548,0.9393891112488335,0.03728545457057875
P9_C11,0.9070518548158625,1.0034409636522885,0.9552464092340756,0.04819455441821302
P9_D11,1.0059325799346008,0.9883929011016451,0.9971627405181229,0.008769839416477854
P7_D11,0.9893645403119123,1.251106921149144,1.1202357307305282,0.13087119041861578
P9_F11,1.3122973487614258,0.9672688809394611,1.1397831148504434,0.17251423391098236
P9_G11,0.9691673270399027,0.9413459527771463,0.9552566399085245,0.013910687131378219
P7_H11,0.9410097745928052,1.000455061327129,0.9707324179599671,0.029722643367161905
P9_A12,1.001720765604875,0.9770332482186463,0.9893770069117607,0.012343758693114326
P7_A12,0.9771354400435488,0.9910949980214209,0.9841152190324849,0.006979778988936036
P9_B12,0.9921941889294994,0.9950792016501926,0.993636695289846,0.001442506360346596
P7_B12,0.9952279252047549,0.9798114173829494,0.9875196712938521,0.00770825391090274
P9_C12,0.9814400924800694,1.006798192041772,0.9941191422609206,0.01267904978085127
P7_C12,1.0090282080676605,0.8739440990090284,0.9414861535383444,0.06754205452931605
P9_D12,0.8698448906064709,0.9982239682556137,0.9340344294310423,0.0641895388245714
P7_D12,0.9989545960392634,1.007990791771651,1.0034726939054572,0.004518097866193838
P9_E12,1.0069632970533657,0.9964682526574837,1.0017157748554246,0.005247522197941001
P7_E12,0.9980920544660622,1.236524800749747,1.1173084276079046,0.11921637314184236
P9_F12,1.295744251126313,0.9826900466175662,1.1392171488719396,0.15652710225437344
P9_G12,0.9840836684141027,0.9629013835523436,0.9734925259832231,0.010591142430879552
P7_G12,0.9634908079535309,0.4302257103626048,0.6968582591580679,0.26663254879546305
P9_H12,0.3427130081565424,0.9746714675012216,0.658692237828882,0.3159792296723396
P12_A11,0.9770046932990722,0.9666147913008004,0.9718097422999363,0.005194950999135917
P12_B11,0.9670698521702596,0.9713918429258054,0.9692308475480325,0.0021609953777728674
P12_C11,0.970783954925682,0.993060113005285,0.9819220339654835,0.011138079039801463
P12_D11,0.9945232599203891,0.9710433055015206,0.9827832827109548,0.01173997720943426
P12_E11,0.9718644758711198,0.993022007551677,0.9824432417113984,0.010578765840278614
P12_F11,0.9946291235415806,1.0051343007179767,0.9998817121297787,0.005252588588198048
P12_G11,1.007591968587405,1.0592284462986432,1.033410207443024,0.02581823885561907
