BC,s_1,s_2,s_3,average,standard deviation
0,1.0,1.0,1.0,1.0,0.0
1,0.957568986101323,0.9163012926072676,0.9394333208510272,0.9377678665198727,0.016888574741062826
10000,0.9251609067250215,0.8571824642043839,0.8883750754073941,0.8902394821122664,0.027783378378133283
3,0.8993138889192479,0.8331251490096921,0.855781745177789,0.8627402610355763,0.027465773002181136
4,0.0,0.0,0.0,0.0,0.0
15000,0.0,0.0,0.0,0.0,0.0
20000,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
2000,0.0,0.0,0.0,0.0,0.0
1000,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0
50000,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0
30000,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0
500,0.0,0.0,0.0,0.0,0.0
5000,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0
40000,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0
