BC,s_1,s_2,s_3,average,standard deviation
0,1.0,1.0,1.0,1.0,0.0
1,0.7852329079853633,1.3280242528367678,0.9692821070661439,1.0275130892960915,0.2253866995188454
10000,0.8334397779772685,0.9552475142934675,1.3445100771533842,1.0443991231413734,0.2179590476750447
3,0.7606521070627776,0.9326406768681059,0.9468341786073652,0.8800423208460829,0.08462025460185085
4,0.0,0.0,0.0,0.0,0.0
15000,0.0,0.0,0.0,0.0,0.0
20000,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
2000,0.0,0.0,0.0,0.0,0.0
1000,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0
50000,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0
30000,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0
500,0.0,0.0,0.0,0.0,0.0
5000,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0
40000,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0
